ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,ip_proto
1776831601.001521,CTB4Kn1yccwNEuvy96,192.168.8.123,60176,192.168.8.1,53,udp,dns,0.001070,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776831601.002646,CYAA8QPT7mItyfCHh,192.168.8.123,35489,192.168.8.1,53,udp,dns,0.000327,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776831601.003312,CcXpND472TOLYidVjh,192.168.8.123,35942,192.168.8.1,53,udp,dns,0.000611,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776831601.003962,CFWNPC2pSOdBfHyIra,192.168.8.123,47946,192.168.8.1,53,udp,dns,0.000347,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776831601.004606,CspojZ3kyItbC4s587,192.168.8.123,41660,192.168.8.1,53,udp,dns,0.000620,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776831601.005261,C8LpmF4frkXdCXAzRa,192.168.8.123,50276,192.168.8.1,53,udp,dns,0.000353,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776831601.005916,CdNZAWiqJcqLtsv88,192.168.8.123,44016,192.168.8.1,53,udp,dns,0.000608,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776831601.006569,CphWoK16YPoqncePKf,192.168.8.123,40245,192.168.8.1,53,udp,dns,0.000307,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776831601.007207,Ckyfks27do78NoNPHf,192.168.8.123,39729,192.168.8.1,53,udp,dns,0.000684,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776831601.007930,C2KlRn1W5hTIU0A6bi,192.168.8.123,52378,192.168.8.1,53,udp,dns,0.000342,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776831601.008566,CPACte28mRBbiM1XS5,192.168.8.123,57550,192.168.8.1,53,udp,dns,0.000672,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776831601.009276,CKjnTNnFz5YV4gulb,192.168.8.123,40249,192.168.8.1,53,udp,dns,0.000311,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776831601.009863,CaBOfa3Cfn9a17uEm4,192.168.8.123,35986,192.168.8.1,53,udp,dns,0.000624,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776831601.010527,CaTex3oUFNBIMcRKi,192.168.8.123,60178,192.168.8.1,53,udp,dns,0.000296,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776831601.011086,CIsLEU23RDAPxHmKt5,192.168.8.123,59026,192.168.8.1,53,udp,dns,0.000665,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776831601.011786,CenDsr3GP4qWyMnvT,192.168.8.123,42281,192.168.8.1,53,udp,dns,0.000294,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776831601.012329,CwqrQQ1d2b5O5e6Ac2,192.168.8.123,56443,192.168.8.1,53,udp,dns,0.000616,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776831601.012979,COSe6n1WTx7joK0x2e,192.168.8.123,54077,192.168.8.1,53,udp,dns,0.000297,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
