ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,trans_id,rtt,query,qclass,qclass_name,qtype,qtype_name,rcode,rcode_name,AA,TC,RD,RA,Z,answers,TTLs,rejected,opcode,opcode_name
1776831601.001521,CTB4Kn1yccwNEuvy96,192.168.8.123,60176,192.168.8.1,53,udp,16676,-,2.debian.pool.ntp.org,1,C_INTERNET,1,A,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776831601.001554,CTB4Kn1yccwNEuvy96,192.168.8.123,60176,192.168.8.1,53,udp,14368,-,2.debian.pool.ntp.org,1,C_INTERNET,28,AAAA,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776831601.001604,CTB4Kn1yccwNEuvy96,192.168.8.123,60176,192.168.8.1,53,udp,16676,-,2.debian.pool.ntp.org,1,C_INTERNET,1,A,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776831601.001607,CTB4Kn1yccwNEuvy96,192.168.8.123,60176,192.168.8.1,53,udp,14368,-,2.debian.pool.ntp.org,1,C_INTERNET,28,AAAA,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776831601.002646,CYAA8QPT7mItyfCHh,192.168.8.123,35489,192.168.8.1,53,udp,52468,-,2.debian.pool.ntp.org.lan,1,C_INTERNET,1,A,3,NXDOMAIN,F,F,T,F,0,-,-,T,0,query
1776831601.002655,CYAA8QPT7mItyfCHh,192.168.8.123,35489,192.168.8.1,53,udp,14064,-,2.debian.pool.ntp.org.lan,1,C_INTERNET,28,AAAA,3,NXDOMAIN,F,F,T,F,0,-,-,T,0,query
1776831601.003312,CcXpND472TOLYidVjh,192.168.8.123,35942,192.168.8.1,53,udp,33225,-,3.debian.pool.ntp.org,1,C_INTERNET,1,A,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776831601.003335,CcXpND472TOLYidVjh,192.168.8.123,35942,192.168.8.1,53,udp,3018,-,3.debian.pool.ntp.org,1,C_INTERNET,28,AAAA,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776831601.003389,CcXpND472TOLYidVjh,192.168.8.123,35942,192.168.8.1,53,udp,33225,-,3.debian.pool.ntp.org,1,C_INTERNET,1,A,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776831601.003392,CcXpND472TOLYidVjh,192.168.8.123,35942,192.168.8.1,53,udp,3018,-,3.debian.pool.ntp.org,1,C_INTERNET,28,AAAA,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776831601.003962,CFWNPC2pSOdBfHyIra,192.168.8.123,47946,192.168.8.1,53,udp,20953,-,3.debian.pool.ntp.org.lan,1,C_INTERNET,1,A,3,NXDOMAIN,F,F,T,F,0,-,-,T,0,query
1776831601.003970,CFWNPC2pSOdBfHyIra,192.168.8.123,47946,192.168.8.1,53,udp,44510,-,3.debian.pool.ntp.org.lan,1,C_INTERNET,28,AAAA,3,NXDOMAIN,F,F,T,F,0,-,-,T,0,query
1776831601.004606,CspojZ3kyItbC4s587,192.168.8.123,41660,192.168.8.1,53,udp,37641,-,0.debian.pool.ntp.org,1,C_INTERNET,1,A,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776831601.004621,CspojZ3kyItbC4s587,192.168.8.123,41660,192.168.8.1,53,udp,19978,-,0.debian.pool.ntp.org,1,C_INTERNET,28,AAAA,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776831601.004680,CspojZ3kyItbC4s587,192.168.8.123,41660,192.168.8.1,53,udp,37641,-,0.debian.pool.ntp.org,1,C_INTERNET,1,A,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776831601.004683,CspojZ3kyItbC4s587,192.168.8.123,41660,192.168.8.1,53,udp,19978,-,0.debian.pool.ntp.org,1,C_INTERNET,28,AAAA,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776831601.005261,C8LpmF4frkXdCXAzRa,192.168.8.123,50276,192.168.8.1,53,udp,24366,-,0.debian.pool.ntp.org.lan,1,C_INTERNET,1,A,3,NXDOMAIN,F,F,T,F,0,-,-,T,0,query
1776831601.005269,C8LpmF4frkXdCXAzRa,192.168.8.123,50276,192.168.8.1,53,udp,28716,-,0.debian.pool.ntp.org.lan,1,C_INTERNET,28,AAAA,3,NXDOMAIN,F,F,T,F,0,-,-,T,0,query
1776831601.005916,CdNZAWiqJcqLtsv88,192.168.8.123,44016,192.168.8.1,53,udp,13359,-,1.debian.pool.ntp.org,1,C_INTERNET,1,A,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776831601.005932,CdNZAWiqJcqLtsv88,192.168.8.123,44016,192.168.8.1,53,udp,51489,-,1.debian.pool.ntp.org,1,C_INTERNET,28,AAAA,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776831601.005993,CdNZAWiqJcqLtsv88,192.168.8.123,44016,192.168.8.1,53,udp,13359,-,1.debian.pool.ntp.org,1,C_INTERNET,1,A,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776831601.005996,CdNZAWiqJcqLtsv88,192.168.8.123,44016,192.168.8.1,53,udp,51489,-,1.debian.pool.ntp.org,1,C_INTERNET,28,AAAA,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776831601.006569,CphWoK16YPoqncePKf,192.168.8.123,40245,192.168.8.1,53,udp,18724,-,1.debian.pool.ntp.org.lan,1,C_INTERNET,1,A,3,NXDOMAIN,F,F,T,F,0,-,-,T,0,query
