ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,ip_proto
1776832841.251444,C7YIAc4BM4yXM65KNi,192.168.8.123,42044,192.168.8.1,53,udp,dns,0.000974,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776832841.252443,CNHLoL2AmbYrvgwyg,192.168.8.123,52853,192.168.8.1,53,udp,dns,0.000360,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776832841.252993,COM4tZ2PEyN5mFbqq2,192.168.8.123,57231,192.168.8.1,53,udp,dns,0.000687,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776832841.253702,CnATLB1LMiJqiWat0f,192.168.8.123,57331,192.168.8.1,53,udp,dns,0.000331,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776832841.254195,CZf6on2Y0AhlzRRek6,192.168.8.123,59380,192.168.8.1,53,udp,dns,0.000657,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776832841.254882,CypVOn13lOPv2kn27b,192.168.8.123,59503,192.168.8.1,53,udp,dns,0.000346,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776832841.255396,CW1jeh4vCe8kHnyGul,192.168.8.123,47427,192.168.8.1,53,udp,dns,0.000663,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776832841.256081,CfmLUGBHnzXifDD58,192.168.8.123,51675,192.168.8.1,53,udp,dns,0.000302,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776832841.256531,CB4VZg1uYtYtMLZtsi,192.168.8.123,58003,192.168.8.1,53,udp,dns,0.000571,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776832841.257121,Cd80cFmYUuMJ3Ydp3,192.168.8.123,53499,192.168.8.1,53,udp,dns,0.000294,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776832841.257562,CBt7YJtuaw3Ymfzm3,192.168.8.123,50543,192.168.8.1,53,udp,dns,0.000665,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776832841.258249,CCuAAl10Z8EgqH4cAg,192.168.8.123,38020,192.168.8.1,53,udp,dns,0.000344,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776832841.258743,CndrSp2mKsWX5mrszg,192.168.8.123,34200,192.168.8.1,53,udp,dns,0.000666,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776832841.259438,CyR9T2d7xoTVQn02,192.168.8.123,35209,192.168.8.1,53,udp,dns,0.000291,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776832841.259889,COqR0C24PSRuxgiiq6,192.168.8.123,50383,192.168.8.1,53,udp,dns,0.000622,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776832841.260530,CaivRH3UO7ODZWZ9Vj,192.168.8.123,33986,192.168.8.1,53,udp,dns,0.000293,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776832841.260976,CzT7gS1CcHMUG7W6O3,192.168.8.123,36841,192.168.8.1,53,udp,dns,0.000639,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776832841.261642,CxSx08EWOkvvvuZ9f,192.168.8.123,38436,192.168.8.1,53,udp,dns,0.000290,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776832841.262149,CawBnQ3lol6IqteZZc,192.168.8.123,60497,192.168.8.1,53,udp,dns,0.000655,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776832841.262835,CkIdhCBTwPx9eEmrb,192.168.8.123,58325,192.168.8.1,53,udp,dns,0.000337,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776832844.337692,CXmwqi4KYwir2qUmLj,192.168.8.236,49234,192.168.8.1,53,udp,dns,0.000953,156,156,SF,T,T,0,Dd,4,268,4,268,-,17
1776832844.338829,CcyKr239aqW4DhG7Li,192.168.8.236,55765,192.168.8.1,53,udp,dns,0.000244,86,86,SF,T,T,0,Dd,2,142,2,142,-,17
1776832844.339672,CKeJaQ1B5FvXGVi0M3,192.168.8.236,41686,192.168.8.1,53,udp,dns,0.000545,156,156,SF,T,T,0,Dd,4,268,4,268,-,17
1776832844.340394,CW9yMR3k43bxoaCDK,192.168.8.236,44447,192.168.8.1,53,udp,dns,0.000279,86,86,SF,T,T,0,Dd,2,142,2,142,-,17
1776832844.341260,C3Rci031CGhOdkFpV6,192.168.8.236,38846,192.168.8.1,53,udp,dns,0.000533,156,156,SF,T,T,0,Dd,4,268,4,268,-,17
1776832844.341966,Cp4XeV2mceOBJpg5I4,192.168.8.236,49608,192.168.8.1,53,udp,dns,0.000213,86,86,SF,T,T,0,Dd,2,142,2,142,-,17
1776832844.342743,CoiqNe4suusbshIlRi,192.168.8.236,38259,192.168.8.1,53,udp,dns,0.000538,156,156,SF,T,T,0,Dd,4,268,4,268,-,17
1776832844.343456,CGozP43TVWOhD71AUl,192.168.8.236,44036,192.168.8.1,53,udp,dns,0.000277,86,86,SF,T,T,0,Dd,2,142,2,142,-,17
1776832844.344305,CJBgI7ldLrdqpr4o5,192.168.8.236,51539,192.168.8.1,53,udp,dns,0.000568,156,156,SF,T,T,0,Dd,4,268,4,268,-,17
1776832844.345056,Cep6JeAT0QG4QU0Tg,192.168.8.236,33370,192.168.8.1,53,udp,dns,0.000206,86,86,SF,T,T,0,Dd,2,142,2,142,-,17
1776832844.345820,CnVVzt4BHrhVKyWcBk,192.168.8.236,51697,192.168.8.1,53,udp,dns,0.000530,156,156,SF,T,T,0,Dd,4,268,4,268,-,17
1776832844.346525,C6fR613hryX7P4EdVb,192.168.8.236,56095,192.168.8.1,53,udp,dns,0.000199,86,86,SF,T,T,0,Dd,2,142,2,142,-,17
1776832844.347277,CIojpz30SA2zAqRbea,192.168.8.236,55123,192.168.8.1,53,udp,dns,0.000527,156,156,SF,T,T,0,Dd,4,268,4,268,-,17
1776832844.347979,CPiTImzHlMsKJ6An8,192.168.8.236,49830,192.168.8.1,53,udp,dns,0.000279,86,86,SF,T,T,0,Dd,2,142,2,142,-,17
1776832844.348860,C64zF815cP2SIsidJ5,192.168.8.236,38357,192.168.8.1,53,udp,dns,0.000537,156,156,SF,T,T,0,Dd,4,268,4,268,-,17
1776832844.349605,CAJhWy1AG1SpXhZi6j,192.168.8.236,43438,192.168.8.1,53,udp,dns,0.000208,86,86,SF,T,T,0,Dd,2,142,2,142,-,17
1776832844.350448,CE7Uk51BdEyQ84b93g,192.168.8.236,40154,192.168.8.1,53,udp,dns,0.000579,156,156,SF,T,T,0,Dd,4,268,4,268,-,17
1776832844.351191,C6pFZT2rRDalFAvIh9,192.168.8.236,48155,192.168.8.1,53,udp,dns,0.000289,86,86,SF,T,T,0,Dd,2,142,2,142,-,17
1776832844.351991,CuTgCo3rEYifUbbE7c,192.168.8.236,50207,192.168.8.1,53,udp,dns,0.000587,156,156,SF,T,T,0,Dd,4,268,4,268,-,17
