ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,trans_id,rtt,query,qclass,qclass_name,qtype,qtype_name,rcode,rcode_name,AA,TC,RD,RA,Z,answers,TTLs,rejected,opcode,opcode_name
1776832841.251444,C7YIAc4BM4yXM65KNi,192.168.8.123,42044,192.168.8.1,53,udp,26879,-,0.debian.pool.ntp.org,1,C_INTERNET,1,A,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776832841.251459,C7YIAc4BM4yXM65KNi,192.168.8.123,42044,192.168.8.1,53,udp,65019,-,0.debian.pool.ntp.org,1,C_INTERNET,28,AAAA,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776832841.251523,C7YIAc4BM4yXM65KNi,192.168.8.123,42044,192.168.8.1,53,udp,26879,-,0.debian.pool.ntp.org,1,C_INTERNET,1,A,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776832841.251525,C7YIAc4BM4yXM65KNi,192.168.8.123,42044,192.168.8.1,53,udp,65019,-,0.debian.pool.ntp.org,1,C_INTERNET,28,AAAA,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776832841.252443,CNHLoL2AmbYrvgwyg,192.168.8.123,52853,192.168.8.1,53,udp,7334,-,0.debian.pool.ntp.org.lan,1,C_INTERNET,1,A,3,NXDOMAIN,F,F,T,F,0,-,-,T,0,query
1776832841.252450,CNHLoL2AmbYrvgwyg,192.168.8.123,52853,192.168.8.1,53,udp,27040,-,0.debian.pool.ntp.org.lan,1,C_INTERNET,28,AAAA,3,NXDOMAIN,F,F,T,F,0,-,-,T,0,query
1776832841.252993,COM4tZ2PEyN5mFbqq2,192.168.8.123,57231,192.168.8.1,53,udp,7686,-,1.debian.pool.ntp.org,1,C_INTERNET,1,A,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776832841.253005,COM4tZ2PEyN5mFbqq2,192.168.8.123,57231,192.168.8.1,53,udp,49152,-,1.debian.pool.ntp.org,1,C_INTERNET,28,AAAA,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776832841.253067,COM4tZ2PEyN5mFbqq2,192.168.8.123,57231,192.168.8.1,53,udp,7686,-,1.debian.pool.ntp.org,1,C_INTERNET,1,A,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776832841.253069,COM4tZ2PEyN5mFbqq2,192.168.8.123,57231,192.168.8.1,53,udp,49152,-,1.debian.pool.ntp.org,1,C_INTERNET,28,AAAA,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776832841.253702,CnATLB1LMiJqiWat0f,192.168.8.123,57331,192.168.8.1,53,udp,13023,-,1.debian.pool.ntp.org.lan,1,C_INTERNET,1,A,3,NXDOMAIN,F,F,T,F,0,-,-,T,0,query
1776832841.253711,CnATLB1LMiJqiWat0f,192.168.8.123,57331,192.168.8.1,53,udp,23262,-,1.debian.pool.ntp.org.lan,1,C_INTERNET,28,AAAA,3,NXDOMAIN,F,F,T,F,0,-,-,T,0,query
1776832841.254195,CZf6on2Y0AhlzRRek6,192.168.8.123,59380,192.168.8.1,53,udp,37966,-,2.debian.pool.ntp.org,1,C_INTERNET,1,A,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776832841.254209,CZf6on2Y0AhlzRRek6,192.168.8.123,59380,192.168.8.1,53,udp,62799,-,2.debian.pool.ntp.org,1,C_INTERNET,28,AAAA,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776832841.254271,CZf6on2Y0AhlzRRek6,192.168.8.123,59380,192.168.8.1,53,udp,37966,-,2.debian.pool.ntp.org,1,C_INTERNET,1,A,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776832841.254272,CZf6on2Y0AhlzRRek6,192.168.8.123,59380,192.168.8.1,53,udp,62799,-,2.debian.pool.ntp.org,1,C_INTERNET,28,AAAA,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776832841.254882,CypVOn13lOPv2kn27b,192.168.8.123,59503,192.168.8.1,53,udp,62941,-,2.debian.pool.ntp.org.lan,1,C_INTERNET,1,A,3,NXDOMAIN,F,F,T,F,0,-,-,T,0,query
1776832841.254890,CypVOn13lOPv2kn27b,192.168.8.123,59503,192.168.8.1,53,udp,14559,-,2.debian.pool.ntp.org.lan,1,C_INTERNET,28,AAAA,3,NXDOMAIN,F,F,T,F,0,-,-,T,0,query
1776832841.255396,CW1jeh4vCe8kHnyGul,192.168.8.123,47427,192.168.8.1,53,udp,23438,-,3.debian.pool.ntp.org,1,C_INTERNET,1,A,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776832841.255408,CW1jeh4vCe8kHnyGul,192.168.8.123,47427,192.168.8.1,53,udp,32497,-,3.debian.pool.ntp.org,1,C_INTERNET,28,AAAA,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776832841.255471,CW1jeh4vCe8kHnyGul,192.168.8.123,47427,192.168.8.1,53,udp,23438,-,3.debian.pool.ntp.org,1,C_INTERNET,1,A,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776832841.255474,CW1jeh4vCe8kHnyGul,192.168.8.123,47427,192.168.8.1,53,udp,32497,-,3.debian.pool.ntp.org,1,C_INTERNET,28,AAAA,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776832841.256081,CfmLUGBHnzXifDD58,192.168.8.123,51675,192.168.8.1,53,udp,48512,-,3.debian.pool.ntp.org.lan,1,C_INTERNET,1,A,3,NXDOMAIN,F,F,T,F,0,-,-,T,0,query
1776832841.256091,CfmLUGBHnzXifDD58,192.168.8.123,51675,192.168.8.1,53,udp,64911,-,3.debian.pool.ntp.org.lan,1,C_INTERNET,28,AAAA,3,NXDOMAIN,F,F,T,F,0,-,-,T,0,query
1776832841.256531,CB4VZg1uYtYtMLZtsi,192.168.8.123,58003,192.168.8.1,53,udp,31433,-,0.debian.pool.ntp.org,1,C_INTERNET,1,A,5,REFUSED,F,F,T,F,0,-,-,T,0,query
