ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,ip_proto
1776867231.084053,C1CP0A4BiNyM3nw79k,192.168.8.140,5353,224.0.0.251,5353,udp,dns,-,-,-,S0,T,T,0,D,1,73,0,0,-,17
1776867237.871429,CCfeWz1tjSCCmcK82k,192.168.8.123,40074,192.168.8.1,53,udp,dns,0.001041,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776867237.872509,Cj91GwktAS1SXy2Ee,192.168.8.123,56486,192.168.8.1,53,udp,dns,0.000366,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776867237.873008,CwnY4ktsITh6IgFUf,192.168.8.123,54060,192.168.8.1,53,udp,dns,0.000793,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776867237.873836,CSdh671VTyWShWNkDd,192.168.8.123,39486,192.168.8.1,53,udp,dns,0.000356,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776867237.875058,C5mJGg42HlY9AFgJP4,192.168.8.123,48330,192.168.8.1,53,udp,dns,0.000617,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776867237.875714,C82agjeOq2QIIMcWj,192.168.8.123,41930,192.168.8.1,53,udp,dns,0.000375,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776867237.876258,Cw8o4X30BH2aLkiER,192.168.8.123,42387,192.168.8.1,53,udp,dns,0.000682,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776867237.876970,Cp9vvB3SG0ngUZoYma,192.168.8.123,33483,192.168.8.1,53,udp,dns,0.000340,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776867237.877418,CqOHOi2LnesF0Y9Xha,192.168.8.123,42669,192.168.8.1,53,udp,dns,0.000594,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776867237.878042,CcNRVS3X6IaCLAGT19,192.168.8.123,43726,192.168.8.1,53,udp,dns,0.000350,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776867237.878493,CJpZjOOEqb9oTAOub,192.168.8.123,41631,192.168.8.1,53,udp,dns,0.000592,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776867237.879111,CkpeL448DOyl5yyMRa,192.168.8.123,38106,192.168.8.1,53,udp,dns,0.000351,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776867237.879559,CkH487wS4MJrM9jN8,192.168.8.123,38809,192.168.8.1,53,udp,dns,0.000587,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776867237.880174,C6jMbq2qwGe84b0Ypk,192.168.8.123,38205,192.168.8.1,53,udp,dns,0.000352,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776867237.880623,CK5ddT1iFEzHOZXhxl,192.168.8.123,40315,192.168.8.1,53,udp,dns,0.000673,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776867237.881324,CVTTnw3fTQ4tjypVU3,192.168.8.123,36420,192.168.8.1,53,udp,dns,0.000342,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
