ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,trans_id,rtt,query,qclass,qclass_name,qtype,qtype_name,rcode,rcode_name,AA,TC,RD,RA,Z,answers,TTLs,rejected,opcode,opcode_name
1776867237.871429,CCfeWz1tjSCCmcK82k,192.168.8.123,40074,192.168.8.1,53,udp,17993,-,2.debian.pool.ntp.org,1,C_INTERNET,1,A,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776867237.871448,CCfeWz1tjSCCmcK82k,192.168.8.123,40074,192.168.8.1,53,udp,18253,-,2.debian.pool.ntp.org,1,C_INTERNET,28,AAAA,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776867237.871507,CCfeWz1tjSCCmcK82k,192.168.8.123,40074,192.168.8.1,53,udp,17993,-,2.debian.pool.ntp.org,1,C_INTERNET,1,A,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776867237.871511,CCfeWz1tjSCCmcK82k,192.168.8.123,40074,192.168.8.1,53,udp,18253,-,2.debian.pool.ntp.org,1,C_INTERNET,28,AAAA,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776867237.872509,Cj91GwktAS1SXy2Ee,192.168.8.123,56486,192.168.8.1,53,udp,28725,-,2.debian.pool.ntp.org.lan,1,C_INTERNET,1,A,3,NXDOMAIN,F,F,T,F,0,-,-,T,0,query
1776867237.872517,Cj91GwktAS1SXy2Ee,192.168.8.123,56486,192.168.8.1,53,udp,5687,-,2.debian.pool.ntp.org.lan,1,C_INTERNET,28,AAAA,3,NXDOMAIN,F,F,T,F,0,-,-,T,0,query
1776867237.873008,CwnY4ktsITh6IgFUf,192.168.8.123,54060,192.168.8.1,53,udp,1949,-,3.debian.pool.ntp.org,1,C_INTERNET,1,A,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776867237.873021,CwnY4ktsITh6IgFUf,192.168.8.123,54060,192.168.8.1,53,udp,29855,-,3.debian.pool.ntp.org,1,C_INTERNET,28,AAAA,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776867237.873083,CwnY4ktsITh6IgFUf,192.168.8.123,54060,192.168.8.1,53,udp,1949,-,3.debian.pool.ntp.org,1,C_INTERNET,1,A,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776867237.873086,CwnY4ktsITh6IgFUf,192.168.8.123,54060,192.168.8.1,53,udp,29855,-,3.debian.pool.ntp.org,1,C_INTERNET,28,AAAA,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776867237.873836,CSdh671VTyWShWNkDd,192.168.8.123,39486,192.168.8.1,53,udp,54788,-,3.debian.pool.ntp.org.lan,1,C_INTERNET,1,A,3,NXDOMAIN,F,F,T,F,0,-,-,T,0,query
1776867237.873843,CSdh671VTyWShWNkDd,192.168.8.123,39486,192.168.8.1,53,udp,57350,-,3.debian.pool.ntp.org.lan,1,C_INTERNET,28,AAAA,3,NXDOMAIN,F,F,T,F,0,-,-,T,0,query
1776867237.875058,C5mJGg42HlY9AFgJP4,192.168.8.123,48330,192.168.8.1,53,udp,14416,-,0.debian.pool.ntp.org,1,C_INTERNET,1,A,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776867237.875076,C5mJGg42HlY9AFgJP4,192.168.8.123,48330,192.168.8.1,53,udp,56149,-,0.debian.pool.ntp.org,1,C_INTERNET,28,AAAA,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776867237.875133,C5mJGg42HlY9AFgJP4,192.168.8.123,48330,192.168.8.1,53,udp,14416,-,0.debian.pool.ntp.org,1,C_INTERNET,1,A,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776867237.875136,C5mJGg42HlY9AFgJP4,192.168.8.123,48330,192.168.8.1,53,udp,56149,-,0.debian.pool.ntp.org,1,C_INTERNET,28,AAAA,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776867237.875714,C82agjeOq2QIIMcWj,192.168.8.123,41930,192.168.8.1,53,udp,47751,-,0.debian.pool.ntp.org.lan,1,C_INTERNET,1,A,3,NXDOMAIN,F,F,T,F,0,-,-,T,0,query
