ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,trans_id,rtt,query,qclass,qclass_name,qtype,qtype_name,rcode,rcode_name,AA,TC,RD,RA,Z,answers,TTLs,rejected,opcode,opcode_name
1776854895.874589,Ct9BVX3FS7JtbOPM73,192.168.8.123,34279,192.168.8.1,53,udp,55290,-,2.debian.pool.ntp.org,1,C_INTERNET,1,A,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776854895.874589,Ct9BVX3FS7JtbOPM73,192.168.8.123,34279,192.168.8.1,53,udp,24575,-,2.debian.pool.ntp.org,1,C_INTERNET,28,AAAA,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776854895.874589,Ct9BVX3FS7JtbOPM73,192.168.8.123,34279,192.168.8.1,53,udp,55290,-,2.debian.pool.ntp.org,1,C_INTERNET,1,A,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776854895.874589,Ct9BVX3FS7JtbOPM73,192.168.8.123,34279,192.168.8.1,53,udp,24575,-,2.debian.pool.ntp.org,1,C_INTERNET,28,AAAA,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776854895.874589,CRYzTU3wB36m0H96kf,192.168.8.123,54215,192.168.8.1,53,udp,14190,-,2.debian.pool.ntp.org.lan,1,C_INTERNET,1,A,3,NXDOMAIN,F,F,T,F,0,-,-,T,0,query
1776854895.874589,CRYzTU3wB36m0H96kf,192.168.8.123,54215,192.168.8.1,53,udp,32360,-,2.debian.pool.ntp.org.lan,1,C_INTERNET,28,AAAA,3,NXDOMAIN,F,F,T,F,0,-,-,T,0,query
1776854895.874589,CY9QDU2azdHhKboXb7,192.168.8.123,43816,192.168.8.1,53,udp,12365,-,3.debian.pool.ntp.org,1,C_INTERNET,1,A,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776854895.874589,CY9QDU2azdHhKboXb7,192.168.8.123,43816,192.168.8.1,53,udp,61004,-,3.debian.pool.ntp.org,1,C_INTERNET,28,AAAA,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776854895.874589,CY9QDU2azdHhKboXb7,192.168.8.123,43816,192.168.8.1,53,udp,12365,-,3.debian.pool.ntp.org,1,C_INTERNET,1,A,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776854895.874589,CY9QDU2azdHhKboXb7,192.168.8.123,43816,192.168.8.1,53,udp,61004,-,3.debian.pool.ntp.org,1,C_INTERNET,28,AAAA,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776854895.874589,Celz5XD8yTXmr5MEg,192.168.8.123,38487,192.168.8.1,53,udp,19217,-,3.debian.pool.ntp.org.lan,1,C_INTERNET,1,A,3,NXDOMAIN,F,F,T,F,0,-,-,T,0,query
1776854895.874589,Celz5XD8yTXmr5MEg,192.168.8.123,38487,192.168.8.1,53,udp,65043,-,3.debian.pool.ntp.org.lan,1,C_INTERNET,28,AAAA,3,NXDOMAIN,F,F,T,F,0,-,-,T,0,query
1776854895.874589,Cg2Y3a4o2LGOUC4AF8,192.168.8.123,59059,192.168.8.1,53,udp,32347,-,0.debian.pool.ntp.org,1,C_INTERNET,1,A,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776854895.874589,Cg2Y3a4o2LGOUC4AF8,192.168.8.123,59059,192.168.8.1,53,udp,24916,-,0.debian.pool.ntp.org,1,C_INTERNET,28,AAAA,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776854895.874589,Cg2Y3a4o2LGOUC4AF8,192.168.8.123,59059,192.168.8.1,53,udp,32347,-,0.debian.pool.ntp.org,1,C_INTERNET,1,A,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776854895.874589,Cg2Y3a4o2LGOUC4AF8,192.168.8.123,59059,192.168.8.1,53,udp,24916,-,0.debian.pool.ntp.org,1,C_INTERNET,28,AAAA,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776854895.874756,CXnnkR2a1VtgTVbPJk,192.168.8.123,58094,192.168.8.1,53,udp,47093,-,0.debian.pool.ntp.org.lan,1,C_INTERNET,1,A,3,NXDOMAIN,F,F,T,F,0,-,-,T,0,query
1776854895.874767,CXnnkR2a1VtgTVbPJk,192.168.8.123,58094,192.168.8.1,53,udp,41204,-,0.debian.pool.ntp.org.lan,1,C_INTERNET,28,AAAA,3,NXDOMAIN,F,F,T,F,0,-,-,T,0,query
1776854895.875187,CFgLfk4Db9GNgyhGH,192.168.8.123,57433,192.168.8.1,53,udp,3191,-,1.debian.pool.ntp.org,1,C_INTERNET,1,A,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776854895.875199,CFgLfk4Db9GNgyhGH,192.168.8.123,57433,192.168.8.1,53,udp,2166,-,1.debian.pool.ntp.org,1,C_INTERNET,28,AAAA,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776854895.875262,CFgLfk4Db9GNgyhGH,192.168.8.123,57433,192.168.8.1,53,udp,3191,-,1.debian.pool.ntp.org,1,C_INTERNET,1,A,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776854895.875263,CFgLfk4Db9GNgyhGH,192.168.8.123,57433,192.168.8.1,53,udp,2166,-,1.debian.pool.ntp.org,1,C_INTERNET,28,AAAA,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776854895.875896,CZSKsJ8W9fZkOWSlc,192.168.8.123,49748,192.168.8.1,53,udp,55904,-,1.debian.pool.ntp.org.lan,1,C_INTERNET,1,A,3,NXDOMAIN,F,F,T,F,0,-,-,T,0,query
1776854895.875907,CZSKsJ8W9fZkOWSlc,192.168.8.123,49748,192.168.8.1,53,udp,12641,-,1.debian.pool.ntp.org.lan,1,C_INTERNET,28,AAAA,3,NXDOMAIN,F,F,T,F,0,-,-,T,0,query
1776854895.876307,C0l28Q26VkqoFpe7ba,192.168.8.123,51152,192.168.8.1,53,udp,17441,-,2.debian.pool.ntp.org,1,C_INTERNET,1,A,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776854895.876317,C0l28Q26VkqoFpe7ba,192.168.8.123,51152,192.168.8.1,53,udp,27166,-,2.debian.pool.ntp.org,1,C_INTERNET,28,AAAA,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776854895.876380,C0l28Q26VkqoFpe7ba,192.168.8.123,51152,192.168.8.1,53,udp,17441,-,2.debian.pool.ntp.org,1,C_INTERNET,1,A,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776854895.876382,C0l28Q26VkqoFpe7ba,192.168.8.123,51152,192.168.8.1,53,udp,27166,-,2.debian.pool.ntp.org,1,C_INTERNET,28,AAAA,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776854895.876976,CtnpMPB8fQ7Qcd7f5,192.168.8.123,34606,192.168.8.1,53,udp,51440,-,2.debian.pool.ntp.org.lan,1,C_INTERNET,1,A,3,NXDOMAIN,F,F,T,F,0,-,-,T,0,query
1776854895.876987,CtnpMPB8fQ7Qcd7f5,192.168.8.123,34606,192.168.8.1,53,udp,51443,-,2.debian.pool.ntp.org.lan,1,C_INTERNET,28,AAAA,3,NXDOMAIN,F,F,T,F,0,-,-,T,0,query
1776854895.877383,Cg8DEv46KSAdIZqRW5,192.168.8.123,48504,192.168.8.1,53,udp,52648,-,3.debian.pool.ntp.org,1,C_INTERNET,1,A,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776854895.877393,Cg8DEv46KSAdIZqRW5,192.168.8.123,48504,192.168.8.1,53,udp,57511,-,3.debian.pool.ntp.org,1,C_INTERNET,28,AAAA,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776854895.877457,Cg8DEv46KSAdIZqRW5,192.168.8.123,48504,192.168.8.1,53,udp,52648,-,3.debian.pool.ntp.org,1,C_INTERNET,1,A,5,REFUSED,F,F,T,F,0,-,-,T,0,query
