ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,ip_proto
1776838409.621449,CWI9ZngsjoMZ2vM41,192.168.8.123,57885,192.168.8.1,53,udp,dns,0.001112,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776838409.622628,CLOQcY1PPVLOani424,192.168.8.123,37784,192.168.8.1,53,udp,dns,0.000387,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776838409.623196,CxoHNl1DomCXkKCQvl,192.168.8.123,46017,192.168.8.1,53,udp,dns,0.000702,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776838409.623942,CafxcwlRbamw8NVFj,192.168.8.123,42301,192.168.8.1,53,udp,dns,0.000350,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776838409.624445,C4UxMb2xH7tTrfB5z9,192.168.8.123,35762,192.168.8.1,53,udp,dns,0.000633,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776838409.625151,CGR8gT1vz4JB7PNECk,192.168.8.123,41443,192.168.8.1,53,udp,dns,0.000301,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776838409.625598,C8BJNw2wzWpsO4vEWh,192.168.8.123,39952,192.168.8.1,53,udp,dns,0.000675,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776838409.626324,CzLuO21zzS7UFJo0e2,192.168.8.123,35630,192.168.8.1,53,udp,dns,0.000307,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776838409.626795,CRQBqv4RPv4HUGbnvi,192.168.8.123,32786,192.168.8.1,53,udp,dns,0.000595,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776838409.627423,CNUB0i1NT6TcL7KqS4,192.168.8.123,53605,192.168.8.1,53,udp,dns,0.000297,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776838409.627856,CtGlWo1yVMQZKVSgE3,192.168.8.123,41813,192.168.8.1,53,udp,dns,0.000682,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776838409.628571,CBlqVx2t7W9nufXgBd,192.168.8.123,46278,192.168.8.1,53,udp,dns,0.000356,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776838409.629080,Cf95uh3CG15Uc1yZf7,192.168.8.123,35260,192.168.8.1,53,udp,dns,0.000592,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776838409.629708,COCt4F4B9uoJ5Zz3i,192.168.8.123,48622,192.168.8.1,53,udp,dns,0.000312,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776838409.631303,Cgzf4Gt7rSU5L3qXa,192.168.8.123,60069,192.168.8.1,53,udp,dns,0.000726,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776838409.632091,C9jIYz3r20KsIyxtkc,192.168.8.123,59456,192.168.8.1,53,udp,dns,0.000304,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776838409.632599,CF9P8i2aOM4m0cXOLh,192.168.8.123,49415,192.168.8.1,53,udp,dns,0.000748,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
