ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,trans_id,rtt,query,qclass,qclass_name,qtype,qtype_name,rcode,rcode_name,AA,TC,RD,RA,Z,answers,TTLs,rejected,opcode,opcode_name
1776838409.621449,CWI9ZngsjoMZ2vM41,192.168.8.123,57885,192.168.8.1,53,udp,16706,-,0.debian.pool.ntp.org,1,C_INTERNET,1,A,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776838409.621486,CWI9ZngsjoMZ2vM41,192.168.8.123,57885,192.168.8.1,53,udp,25950,-,0.debian.pool.ntp.org,1,C_INTERNET,28,AAAA,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776838409.621537,CWI9ZngsjoMZ2vM41,192.168.8.123,57885,192.168.8.1,53,udp,16706,-,0.debian.pool.ntp.org,1,C_INTERNET,1,A,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776838409.621540,CWI9ZngsjoMZ2vM41,192.168.8.123,57885,192.168.8.1,53,udp,25950,-,0.debian.pool.ntp.org,1,C_INTERNET,28,AAAA,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776838409.622628,CLOQcY1PPVLOani424,192.168.8.123,37784,192.168.8.1,53,udp,12302,-,0.debian.pool.ntp.org.lan,1,C_INTERNET,1,A,3,NXDOMAIN,F,F,T,F,0,-,-,T,0,query
1776838409.622737,CLOQcY1PPVLOani424,192.168.8.123,37784,192.168.8.1,53,udp,17931,-,0.debian.pool.ntp.org.lan,1,C_INTERNET,28,AAAA,3,NXDOMAIN,F,F,T,F,0,-,-,T,0,query
1776838409.623196,CxoHNl1DomCXkKCQvl,192.168.8.123,46017,192.168.8.1,53,udp,8390,-,1.debian.pool.ntp.org,1,C_INTERNET,1,A,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776838409.623218,CxoHNl1DomCXkKCQvl,192.168.8.123,46017,192.168.8.1,53,udp,61656,-,1.debian.pool.ntp.org,1,C_INTERNET,28,AAAA,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776838409.623272,CxoHNl1DomCXkKCQvl,192.168.8.123,46017,192.168.8.1,53,udp,8390,-,1.debian.pool.ntp.org,1,C_INTERNET,1,A,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776838409.623275,CxoHNl1DomCXkKCQvl,192.168.8.123,46017,192.168.8.1,53,udp,61656,-,1.debian.pool.ntp.org,1,C_INTERNET,28,AAAA,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776838409.623942,CafxcwlRbamw8NVFj,192.168.8.123,42301,192.168.8.1,53,udp,64612,-,1.debian.pool.ntp.org.lan,1,C_INTERNET,1,A,3,NXDOMAIN,F,F,T,F,0,-,-,T,0,query
