ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,ip_proto
1776869022.621401,C4iyoe2Hp4hK8tszLl,192.168.8.123,43968,192.168.8.1,53,udp,dns,0.001202,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776869022.622629,CeM9gT8lpnJL64Ace,192.168.8.123,58749,192.168.8.1,53,udp,dns,0.000336,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776869022.623079,CNx98s4Dmzw4ox4n7d,192.168.8.123,57753,192.168.8.1,53,udp,dns,0.000588,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776869022.623697,ChfT4C1Ni0hQ84wrU,192.168.8.123,54756,192.168.8.1,53,udp,dns,0.000351,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776869022.624131,CddIIR15bbskQlhBl4,192.168.8.123,32921,192.168.8.1,53,udp,dns,0.000583,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776869022.624733,CieVrl4FVKazx1Ncaj,192.168.8.123,59941,192.168.8.1,53,udp,dns,0.000295,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776869022.625110,CK59pE1BptZ45Bv6y,192.168.8.123,34888,192.168.8.1,53,udp,dns,0.000691,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776869022.625829,C50ijtKRTKXNwZbdh,192.168.8.123,55563,192.168.8.1,53,udp,dns,0.000305,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776869022.626366,CySUyH2VMsRAmWV14i,192.168.8.123,40342,192.168.8.1,53,udp,dns,0.000596,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776869022.626999,Cz7j1x2TZ00yl5Vk35,192.168.8.123,37174,192.168.8.1,53,udp,dns,0.000292,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776869022.627437,CjGKaC4ApRmpJDNQMk,192.168.8.123,47485,192.168.8.1,53,udp,dns,0.000595,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776869022.628069,Cu6xwO3TDEOdMonJ7e,192.168.8.123,56899,192.168.8.1,53,udp,dns,0.000287,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776869022.628494,CmVBU915xXhdJU99W7,192.168.8.123,35225,192.168.8.1,53,udp,dns,0.000586,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776869022.629109,CkxPj03SBXNea49h5j,192.168.8.123,35691,192.168.8.1,53,udp,dns,0.000287,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776869022.629506,CCDQ3D2BNjPnEHL5X1,192.168.8.123,36476,192.168.8.1,53,udp,dns,0.000691,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776869022.630225,CXrZov2hABuvoS97xc,192.168.8.123,44358,192.168.8.1,53,udp,dns,0.000437,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776869022.630847,CKrcni1WOAwvqwDdKd,192.168.8.123,42580,192.168.8.1,53,udp,dns,0.000589,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776869022.631456,Ctf6XO3KG9N7w3Vzn5,192.168.8.123,58675,192.168.8.1,53,udp,dns,0.000350,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776869022.631897,Cqvunt4Nn1bUe0I8Nc,192.168.8.123,36842,192.168.8.1,53,udp,dns,0.000600,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776869022.632515,CUvHC92lN3h6Wre4Ga,192.168.8.123,32867,192.168.8.1,53,udp,dns,0.000341,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776869025.606074,ChFXv73ShZymacYQH1,192.168.8.236,47441,192.168.8.1,53,udp,dns,0.000884,156,156,SF,T,T,0,Dd,4,268,4,268,-,17
1776869025.607141,CUWflz23QHMg6S2iFd,192.168.8.236,35368,192.168.8.1,53,udp,dns,0.000293,86,86,SF,T,T,0,Dd,2,142,2,142,-,17
1776869025.608031,CSH7J21YFJxDAaLcF8,192.168.8.236,47069,192.168.8.1,53,udp,dns,0.000543,156,156,SF,T,T,0,Dd,4,268,4,268,-,17
1776869025.608753,CdPGrp2JeTchj4nf4h,192.168.8.236,53641,192.168.8.1,53,udp,dns,0.000281,86,86,SF,T,T,0,Dd,2,142,2,142,-,17
1776869025.609607,CnB2kh4SoEcKoQ5Y25,192.168.8.236,36962,192.168.8.1,53,udp,dns,0.000535,156,156,SF,T,T,0,Dd,4,268,4,268,-,17
1776869025.610313,Cz9heZ3gJyMJN3GP71,192.168.8.236,38633,192.168.8.1,53,udp,dns,0.000204,86,86,SF,T,T,0,Dd,2,142,2,142,-,17
1776869025.611146,C9EHfM1aOAyJiM1S5g,192.168.8.236,58777,192.168.8.1,53,udp,dns,0.000504,156,156,SF,T,T,0,Dd,4,268,4,268,-,17
1776869025.611818,Cfj2tNjXvyX5fTcjf,192.168.8.236,43008,192.168.8.1,53,udp,dns,0.000222,86,86,SF,T,T,0,Dd,2,142,2,142,-,17
1776869025.612604,CsRbsi1sFVEXAAklle,192.168.8.236,38510,192.168.8.1,53,udp,dns,0.000511,156,156,SF,T,T,0,Dd,4,268,4,268,-,17
1776869025.613283,CpZpxg1HNdvEyBCjYd,192.168.8.236,56820,192.168.8.1,53,udp,dns,0.000265,86,86,SF,T,T,0,Dd,2,142,2,142,-,17
1776869025.614099,CN2zD62amzSz01Ojv7,192.168.8.236,50374,192.168.8.1,53,udp,dns,0.000588,156,156,SF,T,T,0,Dd,4,268,4,268,-,17
1776869025.614895,CcQiUc125TGO2v2wKe,192.168.8.236,52058,192.168.8.1,53,udp,dns,0.000256,86,86,SF,T,T,0,Dd,2,142,2,142,-,17
1776869025.615720,CHh4Gv1KIhaDHxqVmb,192.168.8.236,37045,192.168.8.1,53,udp,dns,0.000531,156,156,SF,T,T,0,Dd,4,268,4,268,-,17
1776869025.616424,CsD2UQHqKVJMsCmxa,192.168.8.236,43060,192.168.8.1,53,udp,dns,0.000217,86,86,SF,T,T,0,Dd,2,142,2,142,-,17
1776869025.617201,CrrOIM1gU9qZrxYnPa,192.168.8.236,38346,192.168.8.1,53,udp,dns,0.000513,156,156,SF,T,T,0,Dd,4,268,4,268,-,17
1776869025.617889,C73pGy3vxvJxzVCMQf,192.168.8.236,56268,192.168.8.1,53,udp,dns,0.000270,86,86,SF,T,T,0,Dd,2,142,2,142,-,17
1776869025.618721,CN2OJQA3WOwsMSJg,192.168.8.236,53710,192.168.8.1,53,udp,dns,0.000586,156,156,SF,T,T,0,Dd,4,268,4,268,-,17
1776869025.619464,CtzK491yqgMxA25Yk4,192.168.8.236,52115,192.168.8.1,53,udp,dns,0.000202,86,86,SF,T,T,0,Dd,2,142,2,142,-,17
1776869025.620160,CJZ6jBxWCrbuNvItg,192.168.8.236,45201,192.168.8.1,53,udp,dns,0.000528,156,156,SF,T,T,0,Dd,4,268,4,268,-,17
1776869025.620844,CRJ1Ky4y23Hx5cCEml,192.168.8.236,33948,192.168.8.1,53,udp,dns,0.000200,86,86,SF,T,T,0,Dd,2,142,2,142,-,17
1776869031.046839,CAcfJM32VHsIzbhoLb,192.168.8.140,5353,224.0.0.251,5353,udp,dns,-,-,-,S0,T,T,0,D,1,73,0,0,-,17
1776869052.871455,CfGBGB4BUJJIhzRNR2,192.168.8.123,59168,192.168.8.1,53,udp,dns,0.001106,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776869052.872614,CIK5VT2YsjRRo5YdFk,192.168.8.123,36477,192.168.8.1,53,udp,dns,0.000384,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776869052.873179,CQ2g0D4gCthZKosQdg,192.168.8.123,57046,192.168.8.1,53,udp,dns,0.000625,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776869052.873842,CKelNn3bZxEr7Gyj8c,192.168.8.123,49705,192.168.8.1,53,udp,dns,0.000302,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776869052.874302,CZtOvO1gFfdLpWJGme,192.168.8.123,38341,192.168.8.1,53,udp,dns,0.000689,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776869052.875027,CGF8tL2Bv16Cq1k3ke,192.168.8.123,58219,192.168.8.1,53,udp,dns,0.000298,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776869052.875475,CHk5x72o7HOxVcwuD3,192.168.8.123,35362,192.168.8.1,53,udp,dns,0.000593,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776869052.876107,Cmfq8Y39PNWRjelxBc,192.168.8.123,48952,192.168.8.1,53,udp,dns,0.000340,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776869052.876583,CcDK7W356gDvYKW9Zc,192.168.8.123,50658,192.168.8.1,53,udp,dns,0.000609,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776869052.877225,CZE2wgKlk9oZP7Xwk,192.168.8.123,41552,192.168.8.1,53,udp,dns,0.000305,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776869052.877743,CRdNiE3j2fY15IJoE2,192.168.8.123,53552,192.168.8.1,53,udp,dns,0.000594,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776869052.878377,CzA0PPhvimVIKstr8,192.168.8.123,52413,192.168.8.1,53,udp,dns,0.000300,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776869052.878820,CiIYXsGMQMpalS6qh,192.168.8.123,43977,192.168.8.1,53,udp,dns,0.000590,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776869052.879448,CTRN9l4qlhjqNYDjlh,192.168.8.123,35635,192.168.8.1,53,udp,dns,0.000294,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776869052.879873,CrhkdcU2dvxdqo7J7,192.168.8.123,32812,192.168.8.1,53,udp,dns,0.000670,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776869052.880576,CRrK4o2a1q70l4GfUj,192.168.8.123,40779,192.168.8.1,53,udp,dns,0.000309,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
