ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,trans_id,rtt,query,qclass,qclass_name,qtype,qtype_name,rcode,rcode_name,AA,TC,RD,RA,Z,answers,TTLs,rejected,opcode,opcode_name
1776869536.871487,Ccsg0a1zDzIotGXAR,192.168.8.123,53574,192.168.8.1,53,udp,12460,-,2.debian.pool.ntp.org,1,C_INTERNET,1,A,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776869536.871513,Ccsg0a1zDzIotGXAR,192.168.8.123,53574,192.168.8.1,53,udp,28074,-,2.debian.pool.ntp.org,1,C_INTERNET,28,AAAA,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776869536.871572,Ccsg0a1zDzIotGXAR,192.168.8.123,53574,192.168.8.1,53,udp,12460,-,2.debian.pool.ntp.org,1,C_INTERNET,1,A,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776869536.871577,Ccsg0a1zDzIotGXAR,192.168.8.123,53574,192.168.8.1,53,udp,28074,-,2.debian.pool.ntp.org,1,C_INTERNET,28,AAAA,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776869536.872485,C1vsgE3c8RxSabYuWl,192.168.8.123,51377,192.168.8.1,53,udp,53396,-,2.debian.pool.ntp.org.lan,1,C_INTERNET,1,A,3,NXDOMAIN,F,F,T,F,0,-,-,T,0,query
1776869536.872495,C1vsgE3c8RxSabYuWl,192.168.8.123,51377,192.168.8.1,53,udp,1424,-,2.debian.pool.ntp.org.lan,1,C_INTERNET,28,AAAA,3,NXDOMAIN,F,F,T,F,0,-,-,T,0,query
1776869536.872973,CjeKt63GWJrYFz3hJ6,192.168.8.123,53390,192.168.8.1,53,udp,43823,-,3.debian.pool.ntp.org,1,C_INTERNET,1,A,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776869536.872987,CjeKt63GWJrYFz3hJ6,192.168.8.123,53390,192.168.8.1,53,udp,19501,-,3.debian.pool.ntp.org,1,C_INTERNET,28,AAAA,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776869536.873052,CjeKt63GWJrYFz3hJ6,192.168.8.123,53390,192.168.8.1,53,udp,43823,-,3.debian.pool.ntp.org,1,C_INTERNET,1,A,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776869536.873058,CjeKt63GWJrYFz3hJ6,192.168.8.123,53390,192.168.8.1,53,udp,19501,-,3.debian.pool.ntp.org,1,C_INTERNET,28,AAAA,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776869536.873677,CK31K13bMCRwXMNHWi,192.168.8.123,45586,192.168.8.1,53,udp,25250,-,3.debian.pool.ntp.org.lan,1,C_INTERNET,1,A,3,NXDOMAIN,F,F,T,F,0,-,-,T,0,query
1776869536.873686,CK31K13bMCRwXMNHWi,192.168.8.123,45586,192.168.8.1,53,udp,16288,-,3.debian.pool.ntp.org.lan,1,C_INTERNET,28,AAAA,3,NXDOMAIN,F,F,T,F,0,-,-,T,0,query
1776869536.876447,CQYI8y4sc0ZgEelSj4,192.168.8.123,56853,192.168.8.1,53,udp,55425,-,0.debian.pool.ntp.org,1,C_INTERNET,1,A,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776869536.876463,CQYI8y4sc0ZgEelSj4,192.168.8.123,56853,192.168.8.1,53,udp,42627,-,0.debian.pool.ntp.org,1,C_INTERNET,28,AAAA,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776869536.876528,CQYI8y4sc0ZgEelSj4,192.168.8.123,56853,192.168.8.1,53,udp,55425,-,0.debian.pool.ntp.org,1,C_INTERNET,1,A,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776869536.876532,CQYI8y4sc0ZgEelSj4,192.168.8.123,56853,192.168.8.1,53,udp,42627,-,0.debian.pool.ntp.org,1,C_INTERNET,28,AAAA,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776869536.877149,CuJC3UuPTRvW7SI1f,192.168.8.123,47898,192.168.8.1,53,udp,31377,-,0.debian.pool.ntp.org.lan,1,C_INTERNET,1,A,3,NXDOMAIN,F,F,T,F,0,-,-,T,0,query
1776869536.877158,CuJC3UuPTRvW7SI1f,192.168.8.123,47898,192.168.8.1,53,udp,407,-,0.debian.pool.ntp.org.lan,1,C_INTERNET,28,AAAA,3,NXDOMAIN,F,F,T,F,0,-,-,T,0,query
1776869536.877764,CbEXyO1DovAevVyrk3,192.168.8.123,50526,192.168.8.1,53,udp,26547,-,1.debian.pool.ntp.org,1,C_INTERNET,1,A,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776869536.877781,CbEXyO1DovAevVyrk3,192.168.8.123,50526,192.168.8.1,53,udp,23884,-,1.debian.pool.ntp.org,1,C_INTERNET,28,AAAA,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776869536.877846,CbEXyO1DovAevVyrk3,192.168.8.123,50526,192.168.8.1,53,udp,26547,-,1.debian.pool.ntp.org,1,C_INTERNET,1,A,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776869536.877849,CbEXyO1DovAevVyrk3,192.168.8.123,50526,192.168.8.1,53,udp,23884,-,1.debian.pool.ntp.org,1,C_INTERNET,28,AAAA,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776869536.878416,Cowz5F3kWPUzc0lTU8,192.168.8.123,39455,192.168.8.1,53,udp,37256,-,1.debian.pool.ntp.org.lan,1,C_INTERNET,1,A,3,NXDOMAIN,F,F,T,F,0,-,-,T,0,query
1776869536.878427,Cowz5F3kWPUzc0lTU8,192.168.8.123,39455,192.168.8.1,53,udp,30358,-,1.debian.pool.ntp.org.lan,1,C_INTERNET,28,AAAA,3,NXDOMAIN,F,F,T,F,0,-,-,T,0,query
1776869536.878868,C9iUu03BbYvcNAFx1,192.168.8.123,53162,192.168.8.1,53,udp,46493,-,2.debian.pool.ntp.org,1,C_INTERNET,1,A,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776869536.878884,C9iUu03BbYvcNAFx1,192.168.8.123,53162,192.168.8.1,53,udp,60319,-,2.debian.pool.ntp.org,1,C_INTERNET,28,AAAA,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776869536.878948,C9iUu03BbYvcNAFx1,192.168.8.123,53162,192.168.8.1,53,udp,46493,-,2.debian.pool.ntp.org,1,C_INTERNET,1,A,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776869536.878954,C9iUu03BbYvcNAFx1,192.168.8.123,53162,192.168.8.1,53,udp,60319,-,2.debian.pool.ntp.org,1,C_INTERNET,28,AAAA,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776869536.879488,C5WRV11SsNFmGWjVX6,192.168.8.123,52630,192.168.8.1,53,udp,56833,-,2.debian.pool.ntp.org.lan,1,C_INTERNET,1,A,3,NXDOMAIN,F,F,T,F,0,-,-,T,0,query
1776869536.879497,C5WRV11SsNFmGWjVX6,192.168.8.123,52630,192.168.8.1,53,udp,783,-,2.debian.pool.ntp.org.lan,1,C_INTERNET,28,AAAA,3,NXDOMAIN,F,F,T,F,0,-,-,T,0,query
1776869536.879913,CxJETR2zpo8NuGbbQ2,192.168.8.123,48510,192.168.8.1,53,udp,53180,-,3.debian.pool.ntp.org,1,C_INTERNET,1,A,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776869536.879925,CxJETR2zpo8NuGbbQ2,192.168.8.123,48510,192.168.8.1,53,udp,14781,-,3.debian.pool.ntp.org,1,C_INTERNET,28,AAAA,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776869536.879990,CxJETR2zpo8NuGbbQ2,192.168.8.123,48510,192.168.8.1,53,udp,53180,-,3.debian.pool.ntp.org,1,C_INTERNET,1,A,5,REFUSED,F,F,T,F,0,-,-,T,0,query
