ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,trans_id,rtt,query,qclass,qclass_name,qtype,qtype_name,rcode,rcode_name,AA,TC,RD,RA,Z,answers,TTLs,rejected,opcode,opcode_name
1776860431.621472,CHSqUW1cnghum2Tds6,192.168.8.123,52361,192.168.8.1,53,udp,64131,-,0.debian.pool.ntp.org,1,C_INTERNET,1,A,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776860431.621494,CHSqUW1cnghum2Tds6,192.168.8.123,52361,192.168.8.1,53,udp,38791,-,0.debian.pool.ntp.org,1,C_INTERNET,28,AAAA,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776860431.621555,CHSqUW1cnghum2Tds6,192.168.8.123,52361,192.168.8.1,53,udp,64131,-,0.debian.pool.ntp.org,1,C_INTERNET,1,A,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776860431.621560,CHSqUW1cnghum2Tds6,192.168.8.123,52361,192.168.8.1,53,udp,38791,-,0.debian.pool.ntp.org,1,C_INTERNET,28,AAAA,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776860431.622481,CltLL9RJvEGI2gVC6,192.168.8.123,58701,192.168.8.1,53,udp,11415,-,0.debian.pool.ntp.org.lan,1,C_INTERNET,1,A,3,NXDOMAIN,F,F,T,F,0,-,-,T,0,query
1776860431.622494,CltLL9RJvEGI2gVC6,192.168.8.123,58701,192.168.8.1,53,udp,42133,-,0.debian.pool.ntp.org.lan,1,C_INTERNET,28,AAAA,3,NXDOMAIN,F,F,T,F,0,-,-,T,0,query
1776860431.623040,C8Jmme1JkJlQdNMM7c,192.168.8.123,44503,192.168.8.1,53,udp,38632,-,1.debian.pool.ntp.org,1,C_INTERNET,1,A,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776860431.623057,C8Jmme1JkJlQdNMM7c,192.168.8.123,44503,192.168.8.1,53,udp,16875,-,1.debian.pool.ntp.org,1,C_INTERNET,28,AAAA,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776860431.623121,C8Jmme1JkJlQdNMM7c,192.168.8.123,44503,192.168.8.1,53,udp,38632,-,1.debian.pool.ntp.org,1,C_INTERNET,1,A,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776860431.623124,C8Jmme1JkJlQdNMM7c,192.168.8.123,44503,192.168.8.1,53,udp,16875,-,1.debian.pool.ntp.org,1,C_INTERNET,28,AAAA,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776860431.623774,CmN79Z22Xe3DCwOnyi,192.168.8.123,59748,192.168.8.1,53,udp,17289,-,1.debian.pool.ntp.org.lan,1,C_INTERNET,1,A,3,NXDOMAIN,F,F,T,F,0,-,-,T,0,query
1776860431.623785,CmN79Z22Xe3DCwOnyi,192.168.8.123,59748,192.168.8.1,53,udp,35479,-,1.debian.pool.ntp.org.lan,1,C_INTERNET,28,AAAA,3,NXDOMAIN,F,F,T,F,0,-,-,T,0,query
1776860431.624368,CJni4K3ViQvTknOUnj,192.168.8.123,43167,192.168.8.1,53,udp,22951,-,2.debian.pool.ntp.org,1,C_INTERNET,1,A,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776860431.624382,CJni4K3ViQvTknOUnj,192.168.8.123,43167,192.168.8.1,53,udp,58528,-,2.debian.pool.ntp.org,1,C_INTERNET,28,AAAA,5,REFUSED,F,F,T,F,0,-,-,T,0,query
1776860431.624443,CJni4K3ViQvTknOUnj,192.168.8.123,43167,192.168.8.1,53,udp,22951,-,2.debian.pool.ntp.org,1,C_INTERNET,1,A,5,REFUSED,F,F,T,F,0,-,-,T,0,query
