timestamp,hostname,cpu_percent,ram_percent,ram_used_mb,ram_available_mb,load_1,load_5,load_15,bytes_sent_total,bytes_recv_total,bytes_sent_diff,bytes_recv_diff,packets_sent_total,packets_recv_total,packets_sent_diff,packets_recv_diff
2026-04-21T17:23:25,IoT-Gateway-PI,0.0,5.2,127.51,3597.71,0.0,0.0156,0.0,4948906,33277809,0,0,60593,74815,0,0
2026-04-21T17:23:26,IoT-Gateway-PI,0.0,5.2,127.63,3597.59,0.0,0.0156,0.0,4951066,33280701,2160,2892,60617,74850,24,35
2026-04-21T17:23:27,IoT-Gateway-PI,0.0,5.2,127.63,3597.59,0.0,0.0156,0.0,4954364,33284181,3298,3480,60656,74888,39,38
2026-04-21T17:23:28,IoT-Gateway-PI,6.0,5.6,140.03,3585.19,0.0801,0.0322,0.0054,4961731,33291836,7367,7655,60713,74950,57,62
2026-04-21T17:23:29,IoT-Gateway-PI,0.0,5.6,140.18,3585.05,0.0801,0.0322,0.0054,4964521,33294806,2790,2970,60744,74984,31,34
2026-04-21T17:23:30,IoT-Gateway-PI,0.0,5.6,140.18,3585.05,0.0801,0.0322,0.0054,4967519,33298214,2998,3408,60779,75024,35,40
2026-04-21T17:23:31,IoT-Gateway-PI,0.2,5.6,139.92,3585.3,0.0801,0.0322,0.0054,4967969,33299084,450,870,60784,75036,5,12
2026-04-21T17:23:32,IoT-Gateway-PI,0.0,5.6,139.92,3585.3,0.0801,0.0322,0.0054,4968077,33299204,108,120,60786,75038,2,2
2026-04-21T17:23:33,IoT-Gateway-PI,0.0,5.6,139.68,3585.54,0.0732,0.0312,0.0049,4968607,33299848,530,644,60794,75046,8,8
2026-04-21T17:23:34,IoT-Gateway-PI,0.0,5.6,139.43,3585.79,0.0732,0.0312,0.0049,4968649,33299908,42,60,60795,75047,1,1
2026-04-21T17:23:35,IoT-Gateway-PI,0.0,5.5,139.21,3586.0,0.0732,0.0312,0.0049,4968815,33300148,166,240,60798,75051,3,4
2026-04-21T17:23:36,IoT-Gateway-PI,0.2,5.5,138.8,3586.41,0.0732,0.0312,0.0049,4969147,33300792,332,644,60803,75056,5,5
