timestamp,hostname,cpu_percent,ram_percent,ram_used_mb,ram_available_mb,load_1,load_5,load_15,bytes_sent_total,bytes_recv_total,bytes_sent_diff,bytes_recv_diff,packets_sent_total,packets_recv_total,packets_sent_diff,packets_recv_diff
2026-04-22T04:08:29,IoT-Gateway-PI,0.0,5.7,150.04,3581.27,0.0,0.0,0.0,3778305,4726970,90,0,49457,53814,1,0
2026-04-22T04:08:30,IoT-Gateway-PI,0.0,5.7,149.88,3581.43,0.0,0.0,0.0,3781185,4729850,2880,2880,49489,53846,32,32
2026-04-22T04:08:31,IoT-Gateway-PI,0.5,5.7,149.88,3581.43,0.0,0.0,0.0,3784125,4733134,2940,3284,49523,53884,34,38
2026-04-22T04:08:32,IoT-Gateway-PI,0.0,5.7,149.46,3581.84,0.0,0.0,0.0,3784665,4733914,540,780,49529,53894,6,10
2026-04-22T04:08:33,IoT-Gateway-PI,0.0,5.7,149.46,3581.84,0.0,0.0,0.0,3784665,4733914,0,0,49529,53894,0,0
2026-04-22T04:08:34,IoT-Gateway-PI,0.0,5.7,149.46,3581.84,0.0,0.0,0.0,3784665,4733914,0,0,49529,53894,0,0
2026-04-22T04:08:35,IoT-Gateway-PI,0.0,5.6,148.96,3582.34,0.0,0.0,0.0,3785643,4735250,978,1336,49542,53908,13,14
2026-04-22T04:08:36,IoT-Gateway-PI,0.0,5.6,148.75,3582.56,0.0,0.0,0.0,3786283,4735954,640,704,49552,53917,10,9
2026-04-22T04:08:37,IoT-Gateway-PI,0.2,5.6,148.72,3582.59,0.0,0.0,0.0,3786283,4735954,0,0,49552,53917,0,0
2026-04-22T04:08:38,IoT-Gateway-PI,0.2,5.6,147.79,3583.52,0.0,0.0,0.0,3786283,4735954,0,0,49552,53917,0,0
2026-04-22T04:08:39,IoT-Gateway-PI,0.0,5.6,147.82,3583.48,0.0,0.0,0.0,3786325,4736014,42,60,49553,53918,1,1
2026-04-22T04:08:40,IoT-Gateway-PI,0.0,5.6,147.57,3583.73,0.0,0.0,0.0,3786325,4736014,0,0,49553,53918,0,0
2026-04-22T04:08:41,IoT-Gateway-PI,0.0,5.6,147.29,3584.01,0.0,0.0,0.0,3786745,4736538,420,524,49559,53924,6,6
2026-04-22T04:08:42,IoT-Gateway-PI,0.0,5.6,147.04,3584.25,0.0,0.0,0.0,3786745,4736538,0,0,49559,53924,0,0
2026-04-22T04:08:43,IoT-Gateway-PI,0.0,5.6,147.04,3584.25,0.0,0.0,0.0,3786801,4736658,56,120,49560,53926,1,2
2026-04-22T04:08:44,IoT-Gateway-PI,0.0,5.6,146.55,3584.75,0.0,0.0,0.0,3786967,4736898,166,240,49563,53930,3,4
2026-04-22T04:08:45,IoT-Gateway-PI,0.5,5.6,146.52,3584.78,0.0,0.0,0.0,3792829,4743054,5862,6156,49635,54002,72,72
2026-04-22T04:08:46,IoT-Gateway-PI,0.0,5.6,146.5,3584.78,0.0,0.0,0.0,3793249,4743578,420,524,49641,54008,6,6
2026-04-22T04:08:47,IoT-Gateway-PI,0.0,5.6,146.21,3585.07,0.0,0.0,0.0,3793249,4743578,0,0,49641,54008,0,0
2026-04-22T04:08:48,IoT-Gateway-PI,0.2,5.6,145.96,3585.32,0.0,0.0,0.0,3793249,4744015,0,437,49641,54010,0,2
2026-04-22T04:08:49,IoT-Gateway-PI,0.0,5.6,145.72,3585.57,0.0,0.0,0.0,3793291,4744075,42,60,49642,54011,1,1
2026-04-22T04:08:50,IoT-Gateway-PI,0.0,5.6,145.72,3585.57,0.0,0.0,0.0,3793389,4744255,98,180,49644,54014,2,3
2026-04-22T04:08:51,IoT-Gateway-PI,0.0,5.6,145.72,3585.57,0.0,0.0,0.0,3793865,4745388,476,1133,49651,54024,7,10
2026-04-22T04:08:52,IoT-Gateway-PI,0.0,5.6,145.46,3585.82,0.0,0.0,0.0,3794085,4745628,220,240,49655,54028,4,4
2026-04-22T04:08:53,IoT-Gateway-PI,0.2,5.5,145.22,3586.06,0.0,0.0,0.0,3794085,4745628,0,0,49655,54028,0,0
2026-04-22T04:08:54,IoT-Gateway-PI,0.0,5.5,145.22,3586.06,0.0,0.0,0.0,3794085,4746139,0,511,49655,54030,0,2
2026-04-22T04:08:55,IoT-Gateway-PI,0.0,5.5,145.19,3586.09,0.0,0.0,0.0,3795963,4748353,1878,2214,49677,54054,22,24
2026-04-22T04:08:56,IoT-Gateway-PI,0.3,5.5,145.19,3586.09,0.0,0.0,0.0,3798875,4751705,2912,3352,49709,54094,32,40
2026-04-22T04:08:57,IoT-Gateway-PI,0.0,5.5,145.07,3586.21,0.0,0.0,0.0,3802161,4754891,3286,3186,49744,54129,35,35
2026-04-22T04:08:58,IoT-Gateway-PI,0.0,5.5,144.81,3586.46,0.0,0.0,0.0,3804591,4757681,2430,2790,49771,54162,27,33
2026-04-22T04:08:59,IoT-Gateway-PI,0.0,5.5,144.57,3586.71,0.0,0.0,0.0,3805229,4758581,638,900,49779,54174,8,12
2026-04-22T04:09:00,IoT-Gateway-PI,0.2,5.5,144.79,3586.49,0.0,0.0,0.0,3805449,4758821,220,240,49783,54178,4,4
2026-04-22T04:09:01,IoT-Gateway-PI,0.0,5.5,144.54,3586.73,0.0,0.0,0.0,3805869,4759345,420,524,49789,54184,6,6
2026-04-22T04:09:02,IoT-Gateway-PI,0.2,5.5,144.54,3586.73,0.0,0.0,0.0,3805869,4759345,0,0,49789,54184,0,0
2026-04-22T04:09:03,IoT-Gateway-PI,0.0,5.5,144.3,3586.98,0.0,0.0,0.0,3805869,4759345,0,0,49789,54184,0,0
2026-04-22T04:09:04,IoT-Gateway-PI,0.0,5.5,144.53,3586.73,0.0,0.0,0.0,3805869,4759345,0,0,49789,54184,0,0
2026-04-22T04:09:05,IoT-Gateway-PI,0.2,5.5,144.29,3586.98,0.0,0.0,0.0,3806791,4760561,922,1216,49801,54196,12,12
2026-04-22T04:09:06,IoT-Gateway-PI,0.0,5.5,144.29,3586.98,0.0,0.0,0.0,3807211,4761085,420,524,49807,54202,6,6
2026-04-22T04:09:07,IoT-Gateway-PI,0.0,5.5,144.29,3586.98,0.0,0.0,0.0,3807267,4761205,56,120,49808,54204,1,2
2026-04-22T04:09:08,IoT-Gateway-PI,0.0,5.5,144.29,3586.98,0.0,0.0,0.0,3807487,4761445,220,240,49812,54208,4,4
2026-04-22T04:09:09,IoT-Gateway-PI,0.0,5.5,144.79,3586.47,0.0,0.0,0.0,3807951,4762033,464,588,49819,54215,7,7
2026-04-22T04:09:10,IoT-Gateway-PI,0.2,5.5,144.79,3586.53,0.0,0.0,0.0,3807951,4762033,0,0,49819,54215,0,0
2026-04-22T04:09:11,IoT-Gateway-PI,0.0,5.5,144.79,3586.53,0.0,0.0,0.0,3808371,4762557,420,524,49825,54221,6,6
2026-04-22T04:09:12,IoT-Gateway-PI,0.0,5.5,144.79,3586.53,0.0,0.0,0.0,3808371,4762557,0,0,49825,54221,0,0
2026-04-22T04:09:13,IoT-Gateway-PI,0.0,5.5,144.79,3586.53,0.0,0.0,0.0,3808371,4762557,0,0,49825,54221,0,0
2026-04-22T04:09:14,IoT-Gateway-PI,0.0,5.5,144.54,3586.77,0.0,0.0,0.0,3808371,4762557,0,0,49825,54221,0,0
2026-04-22T04:09:15,IoT-Gateway-PI,0.0,5.5,144.54,3586.77,0.0,0.0,0.0,3809403,4763893,1032,1336,49839,54235,14,14
2026-04-22T04:09:16,IoT-Gateway-PI,0.5,5.5,144.29,3587.02,0.0,0.0,0.0,3814983,4769537,5580,5644,49909,54304,70,69
2026-04-22T04:09:17,IoT-Gateway-PI,0.0,5.5,144.29,3587.02,0.0,0.0,0.0,3814983,4769537,0,0,49909,54304,0,0
2026-04-22T04:09:18,IoT-Gateway-PI,0.0,5.5,144.04,3587.27,0.0,0.0,0.0,3814983,4769537,0,0,49909,54304,0,0
2026-04-22T04:09:19,IoT-Gateway-PI,0.0,5.5,143.79,3587.51,0.0,0.0,0.0,3815025,4769597,42,60,49910,54305,1,1
