timestamp,hostname,cpu_percent,ram_percent,ram_used_mb,ram_available_mb,load_1,load_5,load_15,bytes_sent_total,bytes_recv_total,bytes_sent_diff,bytes_recv_diff,packets_sent_total,packets_recv_total,packets_sent_diff,packets_recv_diff
2026-04-22T15:42:21,IoT-Gateway-PI,0.0,5.3,136.3,3594.13,0.0,0.0,0.0,294491780,337819824,0,0,5031882,5047391,0,0
2026-04-22T15:42:22,IoT-Gateway-PI,0.0,5.3,136.42,3594.01,0.0,0.0,0.0,294494702,337822824,2922,3000,5031915,5047425,33,34
2026-04-22T15:42:23,IoT-Gateway-PI,0.2,5.3,136.42,3594.01,0.0,0.0,0.0,294497150,337825976,2448,3152,5031943,5047463,28,38
2026-04-22T15:42:24,IoT-Gateway-PI,7.3,5.7,149.16,3581.27,0.0,0.0,0.0,294504157,337833057,7007,7081,5031996,5047519,53,56
2026-04-22T15:42:25,IoT-Gateway-PI,0.2,5.7,149.06,3581.37,0.0,0.0,0.0,294507261,337837363,3104,4306,5032033,5047571,37,52
2026-04-22T15:42:26,IoT-Gateway-PI,0.0,5.7,149.06,3581.37,0.0,0.0,0.0,294507441,337837603,180,240,5032035,5047574,2,3
2026-04-22T15:42:27,IoT-Gateway-PI,0.0,5.7,148.54,3581.89,0.0,0.0,0.0,294507441,337837663,0,60,5032035,5047575,0,1
2026-04-22T15:42:28,IoT-Gateway-PI,0.0,5.7,148.54,3581.89,0.0,0.0,0.0,294507611,337837953,170,290,5032037,5047578,2,3
2026-04-22T15:42:29,IoT-Gateway-PI,0.0,5.7,148.34,3582.1,0.0,0.0,0.0,294507917,337838247,306,294,5032042,5047582,5,4
2026-04-22T15:42:30,IoT-Gateway-PI,0.0,5.6,147.78,3582.64,0.0,0.0,0.0,294507959,337838427,42,180,5032043,5047585,1,3
2026-04-22T15:42:31,IoT-Gateway-PI,0.2,5.6,147.78,3582.64,0.0,0.0,0.0,294507959,337838427,0,0,5032043,5047585,0,0
2026-04-22T15:42:32,IoT-Gateway-PI,0.0,5.6,147.82,3582.6,0.0,0.0,0.0,294508111,337838607,152,180,5032046,5047588,3,3
2026-04-22T15:42:33,IoT-Gateway-PI,0.7,5.6,146.42,3584.0,0.0,0.0,0.0,294513331,337843957,5220,5350,5032110,5047653,64,65
2026-04-22T15:42:34,IoT-Gateway-PI,0.0,5.6,146.42,3584.0,0.0,0.0,0.0,294513581,337844191,250,234,5032114,5047656,4,3
2026-04-22T15:42:35,IoT-Gateway-PI,0.0,5.6,146.18,3584.25,0.0,0.0,0.0,294514503,337845407,922,1216,5032126,5047668,12,12
2026-04-22T15:42:36,IoT-Gateway-PI,0.2,5.6,146.17,3584.25,0.0,0.0,0.0,294516513,337847313,2010,1906,5032147,5047689,21,21
2026-04-22T15:42:37,IoT-Gateway-PI,0.0,5.6,145.92,3584.49,0.0,0.0,0.0,294519539,337850707,3026,3394,5032181,5047728,34,39
2026-04-22T15:42:38,IoT-Gateway-PI,0.5,5.6,145.92,3584.49,0.0,0.0,0.0,294522807,337854261,3268,3554,5032219,5047769,38,41
2026-04-22T15:42:39,IoT-Gateway-PI,0.2,5.6,145.92,3584.49,0.0,0.0,0.0,294525719,337857327,2912,3066,5032251,5047804,32,35
2026-04-22T15:42:40,IoT-Gateway-PI,0.0,5.6,145.92,3584.49,0.0,0.0,0.0,294528635,337860629,2916,3302,5032284,5047843,33,39
2026-04-22T15:42:41,IoT-Gateway-PI,0.0,5.6,145.68,3584.74,0.0,0.0,0.0,294531747,337863845,3112,3216,5032319,5047880,35,37
2026-04-22T15:42:42,IoT-Gateway-PI,0.0,5.6,145.67,3584.74,0.0,0.0,0.0,294534267,337866665,2520,2820,5032347,5047913,28,33
2026-04-22T15:42:43,IoT-Gateway-PI,0.2,5.6,145.67,3584.74,0.0,0.0,0.0,294536941,337869937,2674,3272,5032377,5047952,30,39
2026-04-22T15:42:44,IoT-Gateway-PI,0.0,5.6,145.42,3584.98,0.0,0.0,0.0,294539711,337872811,2770,2874,5032409,5047985,32,33
2026-04-22T15:42:45,IoT-Gateway-PI,0.2,5.6,145.18,3585.23,0.0,0.0,0.0,294540689,337874087,978,1276,5032422,5047998,13,13
