timestamp,hostname,cpu_percent,ram_percent,ram_used_mb,ram_available_mb,load_1,load_5,load_15,bytes_sent_total,bytes_recv_total,bytes_sent_diff,bytes_recv_diff,packets_sent_total,packets_recv_total,packets_sent_diff,packets_recv_diff
2026-04-22T06:34:11,IoT-Gateway-PI,0.0,5.5,144.2,3586.16,0.0513,0.0142,0.0029,131759677,163550465,0,0,1806705,1814851,0,0
2026-04-22T06:34:12,IoT-Gateway-PI,0.2,5.6,146.28,3584.07,0.0513,0.0142,0.0029,131762397,163553435,2720,2970,1806736,1814886,31,35
2026-04-22T06:34:13,IoT-Gateway-PI,0.0,5.6,146.04,3584.32,0.0469,0.0137,0.0024,131764287,163555385,1890,1950,1806757,1814908,21,22
2026-04-22T06:34:14,IoT-Gateway-PI,0.0,5.6,146.04,3584.32,0.0469,0.0137,0.0024,131764329,163555445,42,60,1806758,1814909,1,1
2026-04-22T06:34:15,IoT-Gateway-PI,0.2,5.6,145.78,3584.57,0.0469,0.0137,0.0024,131764329,163555445,0,0,1806758,1814909,0,0
2026-04-22T06:34:16,IoT-Gateway-PI,0.0,5.6,145.78,3584.57,0.0469,0.0137,0.0024,131764749,163555969,420,524,1806764,1814915,6,6
2026-04-22T06:34:17,IoT-Gateway-PI,0.0,5.6,145.54,3584.81,0.0469,0.0137,0.0024,131764805,163556089,56,120,1806765,1814917,1,2
2026-04-22T06:34:18,IoT-Gateway-PI,0.0,5.6,145.29,3585.06,0.043,0.0132,0.002,131764805,163556089,0,0,1806765,1814917,0,0
2026-04-22T06:34:19,IoT-Gateway-PI,0.0,5.6,145.29,3585.06,0.043,0.0132,0.002,131764915,163556209,110,120,1806767,1814919,2,2
2026-04-22T06:34:20,IoT-Gateway-PI,0.2,5.6,144.81,3585.54,0.043,0.0132,0.002,131765947,163557545,1032,1336,1806781,1814933,14,14
2026-04-22T06:34:21,IoT-Gateway-PI,0.0,5.5,144.04,3586.3,0.043,0.0132,0.002,131766367,163558069,420,524,1806787,1814939,6,6
2026-04-22T06:34:22,IoT-Gateway-PI,0.2,5.5,143.76,3586.58,0.043,0.0132,0.002,131767191,163558977,824,908,1806795,1814950,8,11
2026-04-22T06:34:23,IoT-Gateway-PI,0.0,5.5,143.73,3586.61,0.0391,0.0127,0.0015,131769261,163561841,2070,2864,1806818,1814986,23,36
2026-04-22T06:34:24,IoT-Gateway-PI,0.0,5.5,143.27,3587.07,0.0391,0.0127,0.0015,131772453,163565221,3192,3380,1806854,1815024,36,38
2026-04-22T06:34:25,IoT-Gateway-PI,0.0,5.5,143.25,3587.09,0.0391,0.0127,0.0015,131775707,163568511,3254,3290,1806890,1815061,36,37
2026-04-22T06:34:26,IoT-Gateway-PI,0.0,5.5,143.21,3587.15,0.0391,0.0127,0.0015,131778483,163571801,2776,3290,1806922,1815100,32,39
2026-04-22T06:34:27,IoT-Gateway-PI,0.5,5.5,142.96,3587.39,0.0391,0.0127,0.0015,131781807,163575335,3324,3534,1806959,1815141,37,41
2026-04-22T06:34:28,IoT-Gateway-PI,0.7,5.5,142.47,3587.89,0.0356,0.0122,0.001,131789699,163583335,7892,8000,1807052,1815236,93,95
2026-04-22T06:34:29,IoT-Gateway-PI,0.0,5.5,142.23,3588.13,0.0356,0.0122,0.001,131791049,163584985,1350,1650,1807067,1815256,15,20
2026-04-22T06:34:30,IoT-Gateway-PI,0.0,5.5,141.81,3588.55,0.0356,0.0122,0.001,131791971,163586201,922,1216,1807079,1815268,12,12
2026-04-22T06:34:31,IoT-Gateway-PI,0.0,5.5,141.66,3588.69,0.0356,0.0122,0.001,131792391,163586725,420,524,1807085,1815274,6,6
2026-04-22T06:34:32,IoT-Gateway-PI,0.2,5.5,141.41,3588.94,0.0356,0.0122,0.001,131792391,163586725,0,0,1807085,1815274,0,0
2026-04-22T06:34:33,IoT-Gateway-PI,0.0,5.5,141.16,3589.18,0.0327,0.0117,0.0005,131792447,163586845,56,120,1807086,1815276,1,2
2026-04-22T06:34:34,IoT-Gateway-PI,0.0,5.5,141.41,3588.94,0.0327,0.0117,0.0005,131792489,163586905,42,60,1807087,1815277,1,1
2026-04-22T06:34:35,IoT-Gateway-PI,0.0,5.5,141.12,3589.23,0.0327,0.0117,0.0005,131792599,163587025,110,120,1807089,1815279,2,2
2026-04-22T06:34:36,IoT-Gateway-PI,0.0,5.5,141.06,3589.28,0.0327,0.0117,0.0005,131793129,163587669,530,644,1807097,1815287,8,8
2026-04-22T06:34:37,IoT-Gateway-PI,0.2,5.5,141.06,3589.28,0.0327,0.0117,0.0005,131793129,163587669,0,0,1807097,1815287,0,0
2026-04-22T06:34:38,IoT-Gateway-PI,0.0,5.5,140.96,3589.38,0.0298,0.0112,0.0,131793129,163587669,0,0,1807097,1815287,0,0
2026-04-22T06:34:39,IoT-Gateway-PI,0.0,5.5,140.96,3589.38,0.0298,0.0112,0.0,131793129,163587669,0,0,1807097,1815287,0,0
2026-04-22T06:34:40,IoT-Gateway-PI,0.0,5.5,140.96,3589.38,0.0298,0.0112,0.0,131794051,163588885,922,1216,1807109,1815299,12,12
2026-04-22T06:34:41,IoT-Gateway-PI,0.0,5.5,141.92,3588.43,0.0298,0.0112,0.0,131794569,163589589,518,704,1807117,1815308,8,9
2026-04-22T06:34:42,IoT-Gateway-PI,0.2,5.5,142.12,3588.2,0.0298,0.0112,0.0,131794569,163589589,0,0,1807117,1815308,0,0
2026-04-22T06:34:43,IoT-Gateway-PI,0.0,5.5,142.12,3588.2,0.0273,0.0107,0.0,131794679,163589709,110,120,1807119,1815310,2,2
2026-04-22T06:34:44,IoT-Gateway-PI,0.0,5.5,141.88,3588.45,0.0273,0.0107,0.0,131794831,163589889,152,180,1807122,1815313,3,3
2026-04-22T06:34:45,IoT-Gateway-PI,0.2,5.5,141.88,3588.45,0.0273,0.0107,0.0,131794831,163589889,0,0,1807122,1815313,0,0
2026-04-22T06:34:46,IoT-Gateway-PI,0.0,5.5,141.88,3588.46,0.0273,0.0107,0.0,131795251,163590413,420,524,1807128,1815319,6,6
2026-04-22T06:34:47,IoT-Gateway-PI,0.0,5.5,141.88,3588.46,0.0273,0.0107,0.0,131795251,163590488,0,75,1807128,1815320,0,1
2026-04-22T06:34:48,IoT-Gateway-PI,0.0,5.5,141.62,3588.7,0.0249,0.0103,0.0,131795251,163590488,0,0,1807128,1815320,0,0
2026-04-22T06:34:49,IoT-Gateway-PI,0.0,5.5,141.75,3588.58,0.0249,0.0103,0.0,131795307,163590608,56,120,1807129,1815322,1,2
2026-04-22T06:34:50,IoT-Gateway-PI,0.2,5.5,141.71,3588.61,0.0249,0.0103,0.0,131796229,163591824,922,1216,1807141,1815334,12,12
2026-04-22T06:34:51,IoT-Gateway-PI,0.2,5.5,141.41,3588.91,0.0249,0.0103,0.0,131796759,163592468,530,644,1807149,1815342,8,8
2026-04-22T06:34:52,IoT-Gateway-PI,0.0,5.5,141.19,3589.14,0.0249,0.0103,0.0,131796869,163592588,110,120,1807151,1815344,2,2
2026-04-22T06:34:53,IoT-Gateway-PI,0.0,5.5,141.16,3589.16,0.0225,0.0098,0.0,131796869,163592588,0,0,1807151,1815344,0,0
2026-04-22T06:34:54,IoT-Gateway-PI,0.0,5.5,141.65,3588.67,0.0225,0.0098,0.0,131796869,163592588,0,0,1807151,1815344,0,0
2026-04-22T06:34:55,IoT-Gateway-PI,0.0,5.5,142.63,3587.68,0.0225,0.0098,0.0,131796911,163592648,42,60,1807152,1815345,1,1
2026-04-22T06:34:56,IoT-Gateway-PI,0.0,5.5,143.0,3587.32,0.0225,0.0098,0.0,131797755,163593704,844,1056,1807164,1815357,12,12
2026-04-22T06:34:57,IoT-Gateway-PI,0.2,5.5,142.85,3587.46,0.0225,0.0098,0.0,131797865,163593824,110,120,1807166,1815359,2,2
2026-04-22T06:34:58,IoT-Gateway-PI,0.5,5.5,142.85,3587.46,0.0205,0.0093,0.0,131802805,163598764,4940,4940,1807226,1815419,60,60
2026-04-22T06:34:59,IoT-Gateway-PI,0.0,5.5,142.6,3587.72,0.0205,0.0093,0.0,131802915,163598884,110,120,1807228,1815421,2,2
2026-04-22T06:35:00,IoT-Gateway-PI,0.0,5.5,142.84,3587.46,0.0205,0.0093,0.0,131803947,163600220,1032,1336,1807242,1815435,14,14
2026-04-22T06:35:01,IoT-Gateway-PI,0.2,5.5,143.33,3586.98,0.0205,0.0093,0.0,131804789,163601272,842,1052,1807254,1815447,12,12
2026-04-22T06:35:02,IoT-Gateway-PI,0.0,5.5,143.09,3587.22,0.0205,0.0093,0.0,131804789,163601272,0,0,1807254,1815447,0,0
2026-04-22T06:35:03,IoT-Gateway-PI,0.0,5.5,143.09,3587.22,0.0186,0.0088,0.0,131804831,163601332,42,60,1807255,1815448,1,1
2026-04-22T06:35:04,IoT-Gateway-PI,0.2,5.5,142.84,3587.46,0.0186,0.0088,0.0,131804831,163601332,0,0,1807255,1815448,0,0
2026-04-22T06:35:05,IoT-Gateway-PI,0.2,5.5,142.59,3587.71,0.0186,0.0088,0.0,131805039,163601632,208,300,1807259,1815453,4,5
2026-04-22T06:35:06,IoT-Gateway-PI,0.0,5.5,142.35,3587.95,0.0186,0.0088,0.0,131805459,163602156,420,524,1807265,1815459,6,6
2026-04-22T06:35:07,IoT-Gateway-PI,0.0,5.5,142.35,3587.95,0.0186,0.0088,0.0,131805569,163602276,110,120,1807267,1815461,2,2
2026-04-22T06:35:08,IoT-Gateway-PI,0.0,5.5,142.1,3588.2,0.0166,0.0083,0.0,131805625,163602456,56,180,1807268,1815464,1,3
2026-04-22T06:35:09,IoT-Gateway-PI,0.0,5.5,142.1,3588.2,0.0166,0.0083,0.0,131805625,163602456,0,0,1807268,1815464,0,0
2026-04-22T06:35:10,IoT-Gateway-PI,0.0,5.5,142.1,3588.2,0.0166,0.0083,0.0,131806749,163603892,1124,1436,1807284,1815480,16,16
2026-04-22T06:35:11,IoT-Gateway-PI,0.0,5.5,141.85,3588.45,0.0166,0.0083,0.0,131807169,163604416,420,524,1807290,1815486,6,6
2026-04-22T06:35:12,IoT-Gateway-PI,0.2,5.5,141.85,3588.45,0.0166,0.0083,0.0,131807169,163604416,0,0,1807290,1815486,0,0
2026-04-22T06:35:13,IoT-Gateway-PI,0.0,5.5,141.85,3588.45,0.0151,0.0078,0.0,131807225,163604476,56,60,1807291,1815487,1,1
2026-04-22T06:35:14,IoT-Gateway-PI,0.0,5.5,141.85,3588.45,0.0151,0.0078,0.0,131807225,163604536,0,60,1807291,1815488,0,1
2026-04-22T06:35:15,IoT-Gateway-PI,0.0,5.5,141.6,3588.69,0.0151,0.0078,0.0,131807377,163604716,152,180,1807294,1815491,3,3
2026-04-22T06:35:16,IoT-Gateway-PI,0.0,5.5,141.59,3588.69,0.0151,0.0078,0.0,131807907,163605360,530,644,1807302,1815499,8,8
2026-04-22T06:35:17,IoT-Gateway-PI,0.0,5.5,141.34,3588.94,0.0151,0.0078,0.0,131807907,163605360,0,0,1807302,1815499,0,0
2026-04-22T06:35:18,IoT-Gateway-PI,0.0,5.5,141.34,3588.94,0.0137,0.0073,0.0,131807907,163605360,0,0,1807302,1815499,0,0
2026-04-22T06:35:19,IoT-Gateway-PI,0.2,5.5,141.34,3588.94,0.0137,0.0073,0.0,131807907,163605360,0,0,1807302,1815499,0,0
2026-04-22T06:35:20,IoT-Gateway-PI,0.0,5.5,141.34,3588.94,0.0137,0.0073,0.0,131808829,163606576,922,1216,1807314,1815511,12,12
2026-04-22T06:35:21,IoT-Gateway-PI,0.0,5.5,141.15,3589.13,0.0137,0.0073,0.0,131809305,163607160,476,584,1807321,1815518,7,7
2026-04-22T06:35:22,IoT-Gateway-PI,0.0,5.5,141.14,3589.13,0.0137,0.0073,0.0,131809305,163607220,0,60,1807321,1815519,0,1
2026-04-22T06:35:23,IoT-Gateway-PI,0.0,5.5,141.39,3588.89,0.0122,0.0068,0.0,131809415,163607520,110,300,1807323,1815524,2,5
2026-04-22T06:35:24,IoT-Gateway-PI,0.0,5.5,141.64,3588.64,0.0122,0.0068,0.0,131809525,163607640,110,120,1807325,1815526,2,2
2026-04-22T06:35:25,IoT-Gateway-PI,0.0,5.5,141.64,3588.64,0.0122,0.0068,0.0,131809567,163607700,42,60,1807326,1815527,1,1
2026-04-22T06:35:26,IoT-Gateway-PI,0.0,5.5,142.36,3587.91,0.0122,0.0068,0.0,131809987,163608224,420,524,1807332,1815533,6,6
2026-04-22T06:35:27,IoT-Gateway-PI,0.2,5.5,142.62,3587.65,0.0122,0.0068,0.0,131809987,163608284,0,60,1807332,1815534,0,1
2026-04-22T06:35:28,IoT-Gateway-PI,0.5,5.5,142.61,3587.65,0.0107,0.0063,0.0,131814927,163613284,4940,5000,1807392,1815595,60,61
2026-04-22T06:35:29,IoT-Gateway-PI,0.0,5.5,142.37,3587.9,0.0107,0.0063,0.0,131814983,163613344,56,60,1807393,1815596,1,1
2026-04-22T06:35:30,IoT-Gateway-PI,0.0,5.5,142.12,3588.14,0.0107,0.0063,0.0,131815905,163614620,922,1276,1807405,1815609,12,13
2026-04-22T06:35:31,IoT-Gateway-PI,0.0,5.5,142.36,3587.9,0.0107,0.0063,0.0,131816435,163615264,530,644,1807413,1815617,8,8
2026-04-22T06:35:32,IoT-Gateway-PI,0.2,5.5,142.12,3588.14,0.0107,0.0063,0.0,131816545,163615384,110,120,1807415,1815619,2,2
2026-04-22T06:35:33,IoT-Gateway-PI,0.0,5.5,142.12,3588.14,0.0098,0.0059,0.0,131816545,163615384,0,0,1807415,1815619,0,0
2026-04-22T06:35:34,IoT-Gateway-PI,0.0,5.5,141.86,3588.39,0.0098,0.0059,0.0,131816545,163615384,0,0,1807415,1815619,0,0
2026-04-22T06:35:35,IoT-Gateway-PI,0.0,5.5,141.62,3588.64,0.0098,0.0059,0.0,131816545,163615384,0,0,1807415,1815619,0,0
2026-04-22T06:35:36,IoT-Gateway-PI,0.0,5.5,142.11,3588.14,0.0098,0.0059,0.0,131817007,163615968,462,584,1807422,1815626,7,7
2026-04-22T06:35:37,IoT-Gateway-PI,0.2,5.5,141.88,3588.38,0.0098,0.0059,0.0,131817063,163616028,56,60,1807423,1815627,1,1
2026-04-22T06:35:38,IoT-Gateway-PI,0.0,5.5,141.88,3588.38,0.0088,0.0054,0.0,131817063,163616088,0,60,1807423,1815628,0,1
2026-04-22T06:35:39,IoT-Gateway-PI,0.0,5.5,141.63,3588.62,0.0088,0.0054,0.0,131817173,163616208,110,120,1807425,1815630,2,2
2026-04-22T06:35:40,IoT-Gateway-PI,0.2,5.5,141.62,3588.62,0.0088,0.0054,0.0,131818205,163617544,1032,1336,1807439,1815644,14,14
2026-04-22T06:35:41,IoT-Gateway-PI,0.0,5.5,141.62,3588.62,0.0088,0.0054,0.0,131818625,163618068,420,524,1807445,1815650,6,6
2026-04-22T06:35:42,IoT-Gateway-PI,0.0,5.5,141.62,3588.62,0.0088,0.0054,0.0,131818625,163618068,0,0,1807445,1815650,0,0
2026-04-22T06:35:43,IoT-Gateway-PI,0.0,5.5,141.38,3588.87,0.0078,0.0049,0.0,131818625,163618068,0,0,1807445,1815650,0,0
2026-04-22T06:35:44,IoT-Gateway-PI,0.2,5.5,141.38,3588.87,0.0078,0.0049,0.0,131818625,163618068,0,0,1807445,1815650,0,0
2026-04-22T06:35:45,IoT-Gateway-PI,0.0,5.5,141.37,3588.87,0.0078,0.0049,0.0,131818681,163618128,56,60,1807446,1815651,1,1
2026-04-22T06:35:46,IoT-Gateway-PI,0.0,5.5,141.14,3589.1,0.0078,0.0049,0.0,131819143,163618772,462,644,1807453,1815659,7,8
2026-04-22T06:35:47,IoT-Gateway-PI,0.0,5.5,140.91,3589.33,0.0078,0.0049,0.0,131819253,163618892,110,120,1807455,1815661,2,2
2026-04-22T06:35:48,IoT-Gateway-PI,0.0,5.5,141.4,3588.84,0.0068,0.0044,0.0,131819309,163619012,56,120,1807456,1815663,1,2
2026-04-22T06:35:49,IoT-Gateway-PI,0.0,5.5,141.4,3588.84,0.0068,0.0044,0.0,131819309,163619012,0,0,1807456,1815663,0,0
2026-04-22T06:35:50,IoT-Gateway-PI,0.2,5.5,143.12,3587.12,0.0068,0.0044,0.0,131820231,163620228,922,1216,1807468,1815675,12,12
2026-04-22T06:35:51,IoT-Gateway-PI,0.0,5.6,146.06,3584.16,0.0068,0.0044,0.0,131820651,163620752,420,524,1807474,1815681,6,6
2026-04-22T06:35:52,IoT-Gateway-PI,0.2,5.6,145.82,3584.41,0.0068,0.0044,0.0,131820651,163620752,0,0,1807474,1815681,0,0
2026-04-22T06:35:53,IoT-Gateway-PI,0.0,5.6,145.82,3584.41,0.0059,0.0039,0.0,131820707,163620812,56,60,1807475,1815682,1,1
2026-04-22T06:35:54,IoT-Gateway-PI,0.0,5.6,145.57,3584.66,0.0059,0.0039,0.0,131820707,163620872,0,60,1807475,1815683,0,1
2026-04-22T06:35:55,IoT-Gateway-PI,0.0,5.6,145.32,3584.91,0.0059,0.0039,0.0,131820817,163620992,110,120,1807477,1815685,2,2
2026-04-22T06:35:56,IoT-Gateway-PI,0.0,5.6,146.53,3583.81,0.0059,0.0039,0.0,131821389,163621696,572,704,1807486,1815694,9,9
2026-04-22T06:35:57,IoT-Gateway-PI,0.0,5.6,146.29,3584.06,0.0059,0.0039,0.0,131821389,163621696,0,0,1807486,1815694,0,0
2026-04-22T06:35:58,IoT-Gateway-PI,0.0,5.6,146.3,3584.04,0.0054,0.0034,0.0,131821389,163621696,0,0,1807486,1815694,0,0
2026-04-22T06:35:59,IoT-Gateway-PI,0.5,5.6,146.28,3584.07,0.0054,0.0034,0.0,131826329,163626636,4940,4940,1807546,1815754,60,60
2026-04-22T06:36:00,IoT-Gateway-PI,0.2,5.6,146.28,3584.07,0.0054,0.0034,0.0,131827251,163627852,922,1216,1807558,1815766,12,12
2026-04-22T06:36:01,IoT-Gateway-PI,0.0,5.6,146.03,3584.31,0.0054,0.0034,0.0,131827727,163628436,476,584,1807565,1815773,7,7
2026-04-22T06:36:02,IoT-Gateway-PI,0.5,5.6,146.02,3584.31,0.0054,0.0034,0.0,131827727,163628496,0,60,1807565,1815774,0,1
2026-04-22T06:36:03,IoT-Gateway-PI,0.0,5.6,145.78,3584.56,0.0049,0.0029,0.0,131827837,163628616,110,120,1807567,1815776,2,2
2026-04-22T06:36:04,IoT-Gateway-PI,0.0,5.6,145.78,3584.56,0.0049,0.0029,0.0,131827989,163628796,152,180,1807570,1815779,3,3
2026-04-22T06:36:05,IoT-Gateway-PI,0.0,5.6,145.29,3585.05,0.0049,0.0029,0.0,131827989,163628796,0,0,1807570,1815779,0,0
2026-04-22T06:36:06,IoT-Gateway-PI,0.0,5.6,144.91,3585.43,0.0049,0.0029,0.0,131828451,163629380,462,584,1807577,1815786,7,7
2026-04-22T06:36:07,IoT-Gateway-PI,0.0,5.6,144.91,3585.43,0.0049,0.0029,0.0,131828451,163629380,0,0,1807577,1815786,0,0
2026-04-22T06:36:08,IoT-Gateway-PI,0.0,5.6,144.65,3585.68,0.0044,0.0024,0.0,131828451,163629380,0,0,1807577,1815786,0,0
