timestamp,hostname,cpu_percent,ram_percent,ram_used_mb,ram_available_mb,load_1,load_5,load_15,bytes_sent_total,bytes_recv_total,bytes_sent_diff,bytes_recv_diff,packets_sent_total,packets_recv_total,packets_sent_diff,packets_recv_diff
2026-04-22T06:42:51,IoT-Gateway-PI,0.0,5.6,147.44,3582.77,0.0327,0.061,0.0215,156467551,194095987,0,60,2147929,2156470,0,1
2026-04-22T06:42:52,IoT-Gateway-PI,0.0,5.6,147.51,3582.7,0.0327,0.061,0.0215,156470631,194100157,3080,4170,2147964,2156523,35,53
2026-04-22T06:42:53,IoT-Gateway-PI,0.2,5.6,147.03,3583.18,0.0298,0.0596,0.021,156473241,194103067,2610,2910,2147993,2156557,29,34
2026-04-22T06:42:54,IoT-Gateway-PI,0.0,5.6,147.03,3583.18,0.0298,0.0596,0.021,156475131,194105017,1890,1950,2148014,2156579,21,22
2026-04-22T06:42:55,IoT-Gateway-PI,0.0,5.6,146.78,3583.43,0.0298,0.0596,0.021,156475173,194105077,42,60,2148015,2156580,1,1
2026-04-22T06:42:56,IoT-Gateway-PI,0.0,5.6,146.77,3583.43,0.0298,0.0596,0.021,156475593,194105601,420,524,2148021,2156586,6,6
2026-04-22T06:42:57,IoT-Gateway-PI,0.0,5.6,146.77,3583.43,0.0298,0.0596,0.021,156476499,194106419,906,818,2148030,2156595,9,9
2026-04-22T06:42:58,IoT-Gateway-PI,0.2,5.6,146.28,3583.92,0.0273,0.0581,0.0205,156478805,194108849,2306,2430,2148056,2156623,26,28
2026-04-22T06:42:59,IoT-Gateway-PI,0.2,5.6,145.61,3584.59,0.0273,0.0581,0.0205,156482879,194113163,4074,4314,2148103,2156670,47,47
2026-04-22T06:43:00,IoT-Gateway-PI,0.0,5.6,145.61,3584.59,0.0273,0.0581,0.0205,156485581,194116177,2702,3014,2148133,2156706,30,36
2026-04-22T06:43:01,IoT-Gateway-PI,0.0,5.6,144.88,3585.31,0.0273,0.0581,0.0205,156489241,194120073,3660,3896,2148175,2156749,42,43
2026-04-22T06:43:02,IoT-Gateway-PI,0.3,5.5,144.01,3586.18,0.0273,0.0581,0.0205,156496749,194128091,7508,8018,2148263,2156846,88,97
2026-04-22T06:43:03,IoT-Gateway-PI,0.5,5.5,143.99,3586.2,0.0249,0.0571,0.02,156499857,194131163,3108,3072,2148297,2156880,34,34
2026-04-22T06:43:04,IoT-Gateway-PI,0.5,5.5,143.99,3586.2,0.0249,0.0571,0.02,156502679,194134145,2822,2982,2148328,2156914,31,34
2026-04-22T06:43:05,IoT-Gateway-PI,0.2,5.5,143.56,3586.63,0.0249,0.0571,0.02,156505215,194136965,2536,2820,2148356,2156947,28,33
2026-04-22T06:43:06,IoT-Gateway-PI,0.7,5.5,143.61,3586.59,0.0249,0.0571,0.02,156508613,194140549,3398,3584,2148396,2156988,40,41
2026-04-22T06:43:07,IoT-Gateway-PI,0.0,5.6,144.29,3585.89,0.0249,0.0571,0.02,156511735,194143699,3122,3150,2148432,2157024,36,36
2026-04-22T06:43:08,IoT-Gateway-PI,0.0,5.6,144.26,3585.92,0.0225,0.0562,0.0195,156512421,194144509,686,810,2148440,2157034,8,10
2026-04-22T06:43:09,IoT-Gateway-PI,0.0,5.5,144.02,3586.17,0.0225,0.0562,0.0195,156513343,194145725,922,1216,2148452,2157046,12,12
2026-04-22T06:43:10,IoT-Gateway-PI,0.0,5.5,144.02,3586.17,0.0225,0.0562,0.0195,156513343,194145725,0,0,2148452,2157046,0,0
