timestamp,hostname,cpu_percent,ram_percent,ram_used_mb,ram_available_mb,load_1,load_5,load_15,bytes_sent_total,bytes_recv_total,bytes_sent_diff,bytes_recv_diff,packets_sent_total,packets_recv_total,packets_sent_diff,packets_recv_diff
2026-04-22T09:05:59,IoT-Gateway-PI,0.0,5.9,157.53,3573.33,0.0,0.0215,0.0,51968664,63880444,0,0,723081,726170,0,0
2026-04-22T09:06:00,IoT-Gateway-PI,0.2,5.8,154.76,3576.1,0.0,0.0215,0.0,51971544,63883324,2880,2880,723113,726202,32,32
2026-04-22T09:06:01,IoT-Gateway-PI,0.0,5.8,153.55,3577.31,0.0,0.0215,0.0,51973794,63885634,2250,2310,723138,726228,25,26
2026-04-22T09:06:02,IoT-Gateway-PI,0.2,5.7,152.28,3578.58,0.0,0.0215,0.0,51973794,63885634,0,0,723138,726228,0,0
2026-04-22T09:06:03,IoT-Gateway-PI,0.0,5.7,151.37,3579.48,0.0,0.0215,0.0,51973794,63885634,0,0,723138,726228,0,0
2026-04-22T09:06:04,IoT-Gateway-PI,0.0,5.7,149.9,3580.95,0.0,0.021,0.0,51975136,63887374,1342,1740,723156,726246,18,18
2026-04-22T09:06:05,IoT-Gateway-PI,0.0,5.6,148.28,3582.57,0.0,0.021,0.0,51975234,63887554,98,180,723158,726249,2,3
2026-04-22T09:06:06,IoT-Gateway-PI,0.0,5.6,147.42,3583.43,0.0,0.021,0.0,51975400,63887794,166,240,723161,726253,3,4
2026-04-22T09:06:07,IoT-Gateway-PI,0.2,5.6,147.14,3583.71,0.0,0.021,0.0,51975510,63887914,110,120,723163,726255,2,2
2026-04-22T09:06:08,IoT-Gateway-PI,0.0,5.6,147.14,3583.71,0.0,0.021,0.0,51975510,63887914,0,0,723163,726255,0,0
2026-04-22T09:06:09,IoT-Gateway-PI,0.0,5.6,147.13,3583.71,0.0,0.0205,0.0,51975930,63888438,420,524,723169,726261,6,6
2026-04-22T09:06:10,IoT-Gateway-PI,0.2,5.6,147.13,3583.71,0.0,0.0205,0.0,51975972,63888498,42,60,723170,726262,1,1
2026-04-22T09:06:11,IoT-Gateway-PI,0.0,5.6,147.13,3583.71,0.0,0.0205,0.0,51975972,63888498,0,0,723170,726262,0,0
2026-04-22T09:06:12,IoT-Gateway-PI,0.0,5.6,146.88,3583.96,0.0,0.0205,0.0,51976256,63888686,284,188,723172,726264,2,2
2026-04-22T09:06:13,IoT-Gateway-PI,0.0,5.6,146.41,3584.43,0.0,0.0205,0.0,51978596,63891506,2340,2820,723198,726298,26,34
2026-04-22T09:06:14,IoT-Gateway-PI,0.2,5.6,146.1,3584.74,0.0,0.02,0.0,51983316,63897422,4720,5916,723256,726366,58,68
2026-04-22T09:06:15,IoT-Gateway-PI,0.3,5.6,145.82,3585.01,0.0,0.02,0.0,51985554,63900398,2238,2976,723282,726404,26,38
2026-04-22T09:06:16,IoT-Gateway-PI,0.2,5.6,145.33,3585.5,0.0,0.02,0.0,51988106,63903350,2552,2952,723310,726439,28,35
2026-04-22T09:06:17,IoT-Gateway-PI,1.0,5.5,144.77,3586.06,0.0,0.02,0.0,51996170,63911362,8064,8012,723404,726533,94,94
2026-04-22T09:06:18,IoT-Gateway-PI,0.2,5.5,144.65,3586.18,0.0,0.02,0.0,51999082,63914242,2912,2880,723436,726565,32,32
2026-04-22T09:06:19,IoT-Gateway-PI,0.3,5.5,144.4,3586.43,0.0,0.0195,0.0,52002382,63917646,3300,3404,723474,726603,38,38
2026-04-22T09:06:20,IoT-Gateway-PI,0.2,5.5,144.09,3586.73,0.0,0.0195,0.0,52005082,63920526,2700,2880,723504,726636,30,33
2026-04-22T09:06:21,IoT-Gateway-PI,0.0,5.5,143.85,3586.98,0.0,0.0195,0.0,52006432,63921936,1350,1410,723519,726652,15,16
2026-04-22T09:06:22,IoT-Gateway-PI,0.2,5.5,143.81,3587.02,0.0,0.0195,0.0,52006694,63922236,262,300,723524,726657,5,5
2026-04-22T09:06:23,IoT-Gateway-PI,0.0,5.5,143.54,3587.29,0.0,0.0195,0.0,52006750,63922356,56,120,723525,726659,1,2
