timestamp,hostname,cpu_percent,ram_percent,ram_used_mb,ram_available_mb,load_1,load_5,load_15,bytes_sent_total,bytes_recv_total,bytes_sent_diff,bytes_recv_diff,packets_sent_total,packets_recv_total,packets_sent_diff,packets_recv_diff
2026-04-22T00:10:34,IoT-Monitoring-PI,0.0,14.6,509.34,3457.28,0.0,0.0,0.0,3967015,22586837,0,0,42789,296920,0,0
2026-04-22T00:10:35,IoT-Monitoring-PI,0.2,14.7,510.3,3456.34,0.0,0.0,0.0,3969805,22591595,2790,4758,42820,296983,31,63
2026-04-22T00:10:36,IoT-Monitoring-PI,0.0,14.6,509.67,3456.97,0.0,0.0,0.0,3972479,22596753,2674,5158,42850,297056,30,73
2026-04-22T00:10:37,IoT-Monitoring-PI,0.2,14.6,507.89,3458.75,0.0,0.0,0.0,3973649,22601145,1170,4392,42863,297113,13,57
2026-04-22T00:10:38,IoT-Monitoring-PI,0.0,14.6,507.38,3459.27,0.0,0.0,0.0,3973649,22606161,0,5016,42863,297179,0,66
2026-04-22T00:10:39,IoT-Monitoring-PI,0.0,14.6,506.56,3460.11,0.0,0.0,0.0,3973649,22610633,0,4472,42863,297241,0,62
2026-04-22T00:10:40,IoT-Monitoring-PI,0.2,14.5,505.23,3461.44,0.0,0.0,0.0,3973649,22617009,0,6376,42863,297328,0,87
2026-04-22T00:10:41,IoT-Monitoring-PI,0.3,14.6,508.52,3458.14,0.0,0.0,0.0,3973649,22622255,0,5246,42863,297399,0,71
2026-04-22T00:10:42,IoT-Monitoring-PI,0.0,14.6,508.02,3458.64,0.0,0.0,0.0,3973649,22624493,0,2238,42863,297430,0,31
2026-04-22T00:10:43,IoT-Monitoring-PI,0.5,14.6,506.45,3460.2,0.0,0.0,0.0,3973649,22624493,0,0,42863,297430,0,0
2026-04-22T00:10:44,IoT-Monitoring-PI,0.0,14.5,505.94,3460.72,0.0,0.0,0.0,3973649,22624585,0,92,42863,297432,0,2
2026-04-22T00:10:45,IoT-Monitoring-PI,0.2,14.5,504.92,3461.75,0.0,0.0,0.0,3973649,22624631,0,46,42863,297433,0,1
2026-04-22T00:10:46,IoT-Monitoring-PI,0.2,14.5,504.95,3461.72,0.0,0.0,0.0,3973713,22625183,64,552,42864,297443,1,10
