timestamp,hostname,cpu_percent,ram_percent,ram_used_mb,ram_available_mb,load_1,load_5,load_15,bytes_sent_total,bytes_recv_total,bytes_sent_diff,bytes_recv_diff,packets_sent_total,packets_recv_total,packets_sent_diff,packets_recv_diff
2026-04-22T00:46:08,IoT-Monitoring-PI,0.0,43.4,1675.06,2291.25,0.002,0.0161,0.0,4296515,24202122,0,0,46443,319396,0,0
2026-04-22T00:46:09,IoT-Monitoring-PI,0.0,43.4,1676.08,2290.22,0.002,0.0161,0.0,4299485,24207138,2970,5016,46476,319462,33,66
2026-04-22T00:46:10,IoT-Monitoring-PI,0.3,43.4,1674.19,2292.11,0.002,0.0161,0.0,4300205,24208400,720,1262,46484,319479,8,17
2026-04-22T00:46:11,IoT-Monitoring-PI,0.0,43.3,1671.38,2294.92,0.002,0.0161,0.0,4300205,24209328,0,928,46484,319491,0,12
2026-04-22T00:46:12,IoT-Monitoring-PI,0.2,43.3,1669.48,2296.81,0.002,0.0161,0.0,4300205,24214030,0,4702,46484,319556,0,65
2026-04-22T00:46:13,IoT-Monitoring-PI,0.0,43.2,1667.95,2298.38,0.0015,0.0156,0.0,4300205,24219248,0,5218,46484,319629,0,73
2026-04-22T00:46:14,IoT-Monitoring-PI,0.3,43.2,1666.22,2300.11,0.0015,0.0156,0.0,4300205,24224154,0,4906,46484,319694,0,65
2026-04-22T00:46:15,IoT-Monitoring-PI,0.3,43.3,1668.31,2298.0,0.0015,0.0156,0.0,4300205,24229018,0,4864,46484,319758,0,64
2026-04-22T00:46:16,IoT-Monitoring-PI,0.5,43.2,1667.02,2299.3,0.0015,0.0156,0.0,4300269,24233324,64,4306,46485,319819,1,61
2026-04-22T00:46:17,IoT-Monitoring-PI,0.3,43.2,1666.31,2299.98,0.0015,0.0156,0.0,4300269,24233692,0,368,46485,319825,0,6
2026-04-22T00:46:18,IoT-Monitoring-PI,0.5,43.2,1665.06,2301.25,0.001,0.0151,0.0,4300269,24234158,0,466,46485,319829,0,4
2026-04-22T00:46:19,IoT-Monitoring-PI,0.0,43.1,1663.84,2302.48,0.001,0.0151,0.0,4300269,24234158,0,0,46485,319829,0,0
2026-04-22T00:46:20,IoT-Monitoring-PI,0.3,43.1,1663.27,2303.06,0.001,0.0151,0.0,4300269,24234204,0,46,46485,319830,0,1
