timestamp,hostname,cpu_percent,ram_percent,ram_used_mb,ram_available_mb,load_1,load_5,load_15,bytes_sent_total,bytes_recv_total,bytes_sent_diff,bytes_recv_diff,packets_sent_total,packets_recv_total,packets_sent_diff,packets_recv_diff
2026-04-22T04:27:53,IoT-Monitoring-PI,50.0,37.6,1447.02,2525.95,0.1006,0.062,0.0146,3247091,27675530,0,0,38017,348010,0,0
2026-04-22T04:27:54,IoT-Monitoring-PI,0.0,37.7,1448.62,2524.72,0.1006,0.062,0.0146,3249881,27680518,2790,4988,38048,348078,31,68
2026-04-22T04:27:55,IoT-Monitoring-PI,0.0,37.7,1448.33,2525.02,0.0923,0.0605,0.0142,3252761,27685980,2880,5462,38080,348153,32,75
2026-04-22T04:27:56,IoT-Monitoring-PI,0.2,37.6,1447.45,2525.89,0.0923,0.0605,0.0142,3254021,27688200,1260,2220,38094,348183,14,30
2026-04-22T04:27:57,IoT-Monitoring-PI,0.0,37.6,1446.22,2527.09,0.0923,0.0605,0.0142,3254021,27688200,0,0,38094,348183,0,0
2026-04-22T04:27:58,IoT-Monitoring-PI,0.2,37.6,1445.77,2527.55,0.0923,0.0605,0.0142,3254021,27688200,0,0,38094,348183,0,0
2026-04-22T04:27:59,IoT-Monitoring-PI,0.3,37.6,1445.8,2527.47,0.0923,0.0605,0.0142,3254085,27688942,64,742,38095,348193,1,10
2026-04-22T04:28:00,IoT-Monitoring-PI,0.0,37.6,1444.55,2528.72,0.0845,0.0591,0.0137,3254085,27689218,0,276,38095,348197,0,4
2026-04-22T04:28:01,IoT-Monitoring-PI,0.2,37.6,1444.77,2528.89,0.0845,0.0591,0.0137,3254085,27689218,0,0,38095,348197,0,0
2026-04-22T04:28:02,IoT-Monitoring-PI,0.3,37.5,1443.72,2529.94,0.0845,0.0591,0.0137,3254085,27691444,0,2226,38095,348226,0,29
2026-04-22T04:28:03,IoT-Monitoring-PI,0.0,37.5,1442.98,2530.67,0.0845,0.0591,0.0137,3254085,27697136,0,5692,38095,348303,0,77
2026-04-22T04:28:04,IoT-Monitoring-PI,0.2,37.5,1442.56,2531.09,0.0845,0.0591,0.0137,3254085,27701810,0,4674,38095,348367,0,64
2026-04-22T04:28:05,IoT-Monitoring-PI,0.3,37.6,1447.41,2526.09,0.0776,0.0576,0.0132,3259025,27715672,4940,13862,38155,348561,60,194
2026-04-22T04:28:06,IoT-Monitoring-PI,0.5,37.6,1446.64,2526.86,0.0776,0.0576,0.0132,3259025,27720978,0,5306,38155,348632,0,71
2026-04-22T04:28:07,IoT-Monitoring-PI,0.2,37.6,1445.95,2527.55,0.0776,0.0576,0.0132,3259025,27725714,0,4736,38155,348695,0,63
2026-04-22T04:28:08,IoT-Monitoring-PI,0.0,37.6,1444.89,2528.52,0.0776,0.0576,0.0132,3259025,27738658,0,12944,38155,348879,0,184
2026-04-22T04:28:09,IoT-Monitoring-PI,0.7,37.6,1445.08,2528.33,0.0776,0.0576,0.0132,3259089,27744220,64,5562,38156,348953,1,74
2026-04-22T04:28:10,IoT-Monitoring-PI,0.0,37.6,1445.41,2527.97,0.0713,0.0566,0.0127,3259153,27749590,64,5370,38157,349026,1,73
2026-04-22T04:28:11,IoT-Monitoring-PI,0.2,37.6,1444.44,2528.92,0.0713,0.0566,0.0127,3259153,27753136,0,3546,38157,349077,0,51
