timestamp,hostname,cpu_percent,ram_percent,ram_used_mb,ram_available_mb,load_1,load_5,load_15,bytes_sent_total,bytes_recv_total,bytes_sent_diff,bytes_recv_diff,packets_sent_total,packets_recv_total,packets_sent_diff,packets_recv_diff
2026-04-22T12:12:00,IoT-Monitoring-PI,100.0,44.7,1725.72,2238.55,0.4146,0.2158,0.1001,5424795,117752451,0,0,61268,1961387,0,0
2026-04-22T12:12:01,IoT-Monitoring-PI,0.5,44.8,1727.66,2236.66,0.4146,0.2158,0.1001,5427675,117769057,2880,16606,61300,1961618,32,231
2026-04-22T12:12:02,IoT-Monitoring-PI,0.2,44.8,1727.55,2236.77,0.4146,0.2158,0.1001,5427945,117770163,270,1106,61303,1961632,3,14
2026-04-22T12:12:03,IoT-Monitoring-PI,0.2,44.7,1726.59,2237.72,0.4146,0.2158,0.1001,5428009,117770531,64,368,61304,1961638,1,6
2026-04-22T12:12:04,IoT-Monitoring-PI,0.2,44.7,1725.42,2238.89,0.4146,0.2158,0.1001,5428009,117770531,0,0,61304,1961638,0,0
2026-04-22T12:12:05,IoT-Monitoring-PI,0.3,44.7,1725.34,2238.97,0.3813,0.2119,0.0991,5428009,117770669,0,138,61304,1961641,0,3
2026-04-22T12:12:06,IoT-Monitoring-PI,0.2,44.7,1724.56,2239.73,0.3813,0.2119,0.0991,5428009,117770853,0,184,61304,1961645,0,4
2026-04-22T12:12:07,IoT-Monitoring-PI,0.2,44.7,1724.41,2239.86,0.3813,0.2119,0.0991,5428009,117771129,0,276,61304,1961651,0,6
2026-04-22T12:12:08,IoT-Monitoring-PI,0.3,44.7,1725.48,2238.77,0.3813,0.2119,0.0991,5428073,117771773,64,644,61305,1961663,1,12
2026-04-22T12:12:09,IoT-Monitoring-PI,0.0,44.7,1724.83,2239.41,0.3813,0.2119,0.0991,5428073,117771773,0,0,61305,1961663,0,0
2026-04-22T12:12:10,IoT-Monitoring-PI,0.3,44.7,1724.08,2240.16,0.3506,0.208,0.0981,5428073,117772661,0,888,61305,1961673,0,10
2026-04-22T12:12:11,IoT-Monitoring-PI,0.5,44.7,1723.72,2240.52,0.3506,0.208,0.0981,5428073,117777691,0,5030,61305,1961739,0,66
2026-04-22T12:12:12,IoT-Monitoring-PI,0.3,44.7,1723.61,2241.09,0.3506,0.208,0.0981,5428073,117783499,0,5808,61305,1961816,0,77
2026-04-22T12:12:13,IoT-Monitoring-PI,0.0,44.7,1723.33,2241.34,0.3506,0.208,0.0981,5428073,117788325,0,4826,61305,1961883,0,67
2026-04-22T12:12:14,IoT-Monitoring-PI,0.2,44.6,1722.55,2242.12,0.3506,0.208,0.0981,5428073,117793721,0,5396,61305,1961955,0,72
2026-04-22T12:12:15,IoT-Monitoring-PI,0.3,44.6,1722.36,2242.31,0.3223,0.2041,0.0972,5428073,117799057,0,5336,61305,1962027,0,72
