timestamp,hostname,cpu_percent,ram_percent,ram_used_mb,ram_available_mb,load_1,load_5,load_15,bytes_sent_total,bytes_recv_total,bytes_sent_diff,bytes_recv_diff,packets_sent_total,packets_recv_total,packets_sent_diff,packets_recv_diff
2026-04-22T06:34:19,IoT-Monitoring-PI,0.0,15.0,530.53,3440.44,0.0356,0.019,0.0,22031271,110009326,0,0,99912,1139504,0,0
2026-04-22T06:34:20,IoT-Monitoring-PI,0.3,15.1,530.86,3440.11,0.0356,0.019,0.0,22033431,110013526,2160,4200,99936,1139564,24,60
2026-04-22T06:34:21,IoT-Monitoring-PI,0.0,15.0,529.06,3441.91,0.0327,0.0186,0.0,22033611,110013876,180,350,99938,1139569,2,5
2026-04-22T06:34:22,IoT-Monitoring-PI,0.2,14.9,523.8,3447.17,0.0327,0.0186,0.0,22033611,110015170,0,1294,99938,1139587,0,18
2026-04-22T06:34:23,IoT-Monitoring-PI,0.0,14.8,521.94,3449.03,0.0327,0.0186,0.0,22033611,110020656,0,5486,99938,1139658,0,71
2026-04-22T06:34:24,IoT-Monitoring-PI,0.3,14.8,520.39,3450.56,0.0327,0.0186,0.0,22033611,110023268,0,2612,99938,1139695,0,37
2026-04-22T06:34:25,IoT-Monitoring-PI,0.3,14.8,518.73,3452.22,0.0327,0.0186,0.0,22033611,110028044,0,4776,99938,1139761,0,66
2026-04-22T06:34:26,IoT-Monitoring-PI,0.0,14.7,517.53,3453.42,0.0298,0.0181,0.0,22033611,110031586,0,3542,99938,1139808,0,47
2026-04-22T06:34:27,IoT-Monitoring-PI,0.0,14.7,515.62,3455.33,0.0298,0.0181,0.0,22033675,110031862,64,276,99939,1139814,1,6
2026-04-22T06:34:28,IoT-Monitoring-PI,0.0,14.7,514.98,3455.97,0.0298,0.0181,0.0,22033675,110031862,0,0,99939,1139814,0,0
2026-04-22T06:34:29,IoT-Monitoring-PI,0.0,14.6,514.47,3456.48,0.0298,0.0181,0.0,22033675,110032138,0,276,99939,1139818,0,4
2026-04-22T06:34:30,IoT-Monitoring-PI,0.2,14.6,513.69,3457.25,0.0298,0.0181,0.0,22033675,110032230,0,92,99939,1139820,0,2
2026-04-22T06:34:31,IoT-Monitoring-PI,0.0,14.6,513.09,3457.84,0.0273,0.0176,0.0,22033675,110032276,0,46,99939,1139821,0,1
2026-04-22T06:34:32,IoT-Monitoring-PI,0.2,14.6,512.77,3458.14,0.0273,0.0176,0.0,22033675,110032460,0,184,99939,1139825,0,4
2026-04-22T06:34:33,IoT-Monitoring-PI,0.0,14.6,512.31,3458.59,0.0273,0.0176,0.0,22033675,110033110,0,650,99939,1139833,0,8
2026-04-22T06:34:34,IoT-Monitoring-PI,0.0,14.6,511.89,3459.02,0.0273,0.0176,0.0,22033675,110033386,0,276,99939,1139837,0,4
2026-04-22T06:34:35,IoT-Monitoring-PI,0.5,14.6,511.69,3459.22,0.0273,0.0176,0.0,22033675,110034548,0,1162,99939,1139852,0,15
2026-04-22T06:34:36,IoT-Monitoring-PI,0.0,14.6,511.77,3459.19,0.0249,0.0171,0.0,22033675,110038762,0,4214,99939,1139912,0,60
2026-04-22T06:34:37,IoT-Monitoring-PI,0.2,14.6,511.77,3459.19,0.0249,0.0171,0.0,22033739,110044394,64,5632,99940,1139989,1,77
