timestamp,hostname,cpu_percent,ram_percent,ram_used_mb,ram_available_mb,load_1,load_5,load_15,bytes_sent_total,bytes_recv_total,bytes_sent_diff,bytes_recv_diff,packets_sent_total,packets_recv_total,packets_sent_diff,packets_recv_diff
2026-04-22T16:23:49,IoT-Monitoring-PI,0.0,18.2,653.64,3312.53,0.1118,0.041,0.0117,10307934,437035238,0,0,116968,8700804,0,0
2026-04-22T16:23:50,IoT-Monitoring-PI,0.0,18.3,655.72,3310.44,0.1118,0.041,0.0117,10310544,437044256,2610,9018,116997,8700927,29,123
2026-04-22T16:23:51,IoT-Monitoring-PI,0.2,18.3,656.14,3310.0,0.1118,0.041,0.0117,10312164,437047157,1620,2901,117015,8700966,18,39
2026-04-22T16:23:52,IoT-Monitoring-PI,0.0,18.3,655.86,3310.28,0.1025,0.04,0.0112,10312228,437047965,64,808,117016,8700981,1,15
2026-04-22T16:23:53,IoT-Monitoring-PI,0.2,18.2,655.44,3310.7,0.1025,0.04,0.0112,10312228,437048302,0,337,117016,8700986,0,5
2026-04-22T16:23:54,IoT-Monitoring-PI,0.0,18.2,654.03,3312.11,0.1025,0.04,0.0112,10312228,437048302,0,0,117016,8700986,0,0
2026-04-22T16:23:55,IoT-Monitoring-PI,0.0,18.2,653.45,3312.69,0.1025,0.04,0.0112,10312228,437048302,0,0,117016,8700986,0,0
2026-04-22T16:23:56,IoT-Monitoring-PI,0.0,18.2,653.0,3313.12,0.1025,0.04,0.0112,10312228,437048302,0,0,117016,8700986,0,0
2026-04-22T16:23:57,IoT-Monitoring-PI,0.2,18.2,652.5,3313.62,0.0942,0.0391,0.0107,10312228,437048670,0,368,117016,8700992,0,6
2026-04-22T16:23:58,IoT-Monitoring-PI,0.0,18.2,651.7,3314.41,0.0942,0.0391,0.0107,10312228,437049182,0,512,117016,8700997,0,5
2026-04-22T16:23:59,IoT-Monitoring-PI,0.2,18.1,651.14,3314.97,0.0942,0.0391,0.0107,10312228,437049182,0,0,117016,8700997,0,0
2026-04-22T16:24:00,IoT-Monitoring-PI,0.3,18.1,650.95,3315.16,0.0942,0.0391,0.0107,10312228,437049366,0,184,117016,8701001,0,4
2026-04-22T16:24:01,IoT-Monitoring-PI,0.2,18.1,650.55,3315.56,0.0942,0.0391,0.0107,10312228,437050278,0,912,117016,8701013,0,12
2026-04-22T16:24:02,IoT-Monitoring-PI,0.0,18.2,651.58,3314.53,0.0864,0.0381,0.0103,10317232,437063788,5004,13510,117077,8701208,61,195
2026-04-22T16:24:03,IoT-Monitoring-PI,0.0,18.2,651.47,3314.62,0.0864,0.0381,0.0103,10317232,437069248,0,5460,117077,8701279,0,71
2026-04-22T16:24:04,IoT-Monitoring-PI,0.2,18.1,650.78,3315.31,0.0864,0.0381,0.0103,10317232,437073544,0,4296,117077,8701338,0,59
2026-04-22T16:24:05,IoT-Monitoring-PI,0.3,18.1,649.86,3316.19,0.0864,0.0381,0.0103,10317232,437086792,0,13248,117077,8701526,0,188
